"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_TranscriptID","Cvirginica_GeneID","Cvirginica_Protein_name","Annotation_GO_ID","Cvirginica_length","Airradians_TranscriptID"
"1","crg:105320386","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105320386",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022474388.1","LOC111128646"," 39S ribosomal protein L14, mitochondrial-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",136,"evm.model.Contig79.180"
"2","crg:105336674","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105336674",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022459870.1","LOC111119576"," 39S ribosomal protein L15, mitochondrial-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",291,"evm.model.Contig329.28"
"3","crg:105318421","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105318421",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022483859.1","LOC111134635"," 39S ribosomal protein L16, mitochondrial-like","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254",245,"evm.model.Contig1162.31"
"4","crg:105341412","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105341412",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022442550.1","LOC111107343"," 40S ribosomal protein S10-like","",161,"evm.model.Contig1500.1"
"5","crg:105317506","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105317506",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022452387.1","LOC111114067"," 40S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",197,"evm.model.Contig438.1"
"6","crg:105348494","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105348494",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022457605.1","LOC111118248"," 40S ribosomal protein S12-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",137,"evm.model.Contig74.14"
"7","crg:105338085","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105338085",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022432795.1","LOC111100708"," 40S ribosomal protein S13-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",152,"evm.model.Contig518.25"
"8","crg:105332215","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105332215",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022474258.1","LOC111128580"," 40S ribosomal protein S15-like","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254",151,"evm.model.Contig74.54"
"9","crg:105331157","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105331157",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022457754.1","LOC111118348"," 40S ribosomal protein S15Aa","GO:0003735;GO:0005840;GO:0006412;GO:0042254",130,"evm.model.Contig1015.34"
"10","crg:105344628","Day14","green","crg03010","Ribosome - Magallana gigas (Pacific oyster)",123,60,"105344628",0.48780487804878,4.2248054439943e-65,64.3741932858966,2.22358181262858e-63,"XM_022472901.1","LOC111127638"," 40S ribosomal protein S16","GO:0003735;GO:0005840;GO:0006412;GO:0042254",149,"evm.model.Contig1434.14"
