"","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue"
"1","Day14","midnightblue","crg00670","One carbon pool by folate",18,3,"105334085/105336517/105345937",0.166666666666667,0.000323998191076622,3.48945741450831,0.0139830798254121
"2","Day14","midnightblue","crg01200","Carbon metabolism",107,5,"105339847/105330479/105317497/105328773/105330192",0.0467289719626168,0.00127147596536089,2.895691844855,0.027437112936735
