#,Date_time,Temperature,pH_mv,pH
1,4/27/2023 11:45,19.86,-120.41,8.81
2,4/27/2023 12:00,17.03,-37.92,7.33
3,4/27/2023 12:15,16.84,-47.13,7.5
4,4/27/2023 12:30,16.8,-49.56,7.54
5,4/27/2023 12:45,16.77,-50.41,7.55
6,4/27/2023 13:00,16.77,-50.72,7.56
7,4/27/2023 13:15,16.8,-50.92,7.56
8,4/27/2023 13:30,16.77,-51.06,7.57
9,4/27/2023 13:45,16.75,-51.06,7.57
10,4/27/2023 14:00,16.77,-51.17,7.57
11,4/27/2023 14:15,16.75,-50.91,7.56
12,4/27/2023 14:30,16.77,-50.58,7.56
13,4/27/2023 14:45,16.84,-51.11,7.57
14,4/27/2023 15:00,16.8,-51.5,7.57
15,4/27/2023 15:15,16.82,-51.66,7.58
16,4/27/2023 15:30,16.8,-51.8,7.58
17,4/27/2023 15:45,16.77,-51.99,7.58
18,4/27/2023 16:00,16.82,-51.91,7.58
19,4/27/2023 16:15,16.75,-52.11,7.59
20,4/27/2023 16:30,16.87,-52.16,7.59
21,4/27/2023 16:45,16.82,-52.39,7.59
22,4/27/2023 17:00,16.84,-52.69,7.6
23,4/27/2023 17:15,16.8,-53,7.6
24,4/27/2023 17:30,16.8,-52.7,7.6
25,4/27/2023 17:45,16.77,-53.14,7.6
26,4/27/2023 18:00,16.77,-53.55,7.61
27,4/27/2023 18:15,16.77,-53.66,7.61
28,4/27/2023 18:30,16.82,-53.89,7.62
29,4/27/2023 18:45,16.84,-54.11,7.62
30,4/27/2023 19:00,16.8,-54.19,7.62
31,4/27/2023 19:15,16.87,-54.25,7.62
32,4/27/2023 19:30,16.82,-54.39,7.63
33,4/27/2023 19:45,16.84,-54.28,7.63
34,4/27/2023 20:00,16.89,-54.25,7.62
35,4/27/2023 20:15,16.89,-54.14,7.62
36,4/27/2023 20:30,16.84,-54.02,7.62
37,4/27/2023 20:45,16.82,-53.56,7.61
38,4/27/2023 21:00,16.92,-53.38,7.61
39,4/27/2023 21:15,16.87,-53.38,7.61
40,4/27/2023 21:30,16.92,-53.25,7.61
41,4/27/2023 21:45,16.92,-53.24,7.61
42,4/27/2023 22:00,16.82,-52.83,7.6
43,4/27/2023 22:15,16.77,-52.69,7.6
44,4/27/2023 22:30,16.72,-52.77,7.6
45,4/27/2023 22:45,16.7,-52.66,7.6
46,4/27/2023 23:00,16.65,-52.56,7.59
47,4/27/2023 23:15,16.68,-52.69,7.6
48,4/27/2023 23:30,16.7,-52.77,7.6
49,4/27/2023 23:45,16.65,-52.7,7.6
50,4/28/2023 0:00,16.68,-52.77,7.6
51,4/28/2023 0:15,16.68,-52.8,7.6
52,4/28/2023 0:30,16.68,-52.5,7.59
53,4/28/2023 0:45,16.68,-52.2,7.59
54,4/28/2023 1:00,16.65,-52.05,7.58
55,4/28/2023 1:15,16.7,-52.02,7.58
56,4/28/2023 1:30,16.68,-51.85,7.58
57,4/28/2023 1:45,16.7,-51.72,7.58
58,4/28/2023 2:00,16.68,-51.6,7.58
59,4/28/2023 2:15,16.65,-51.44,7.57
60,4/28/2023 2:30,16.72,-51.24,7.57
61,4/28/2023 2:45,16.68,-51.63,7.58
62,4/28/2023 3:00,16.68,-51.99,7.58
63,4/28/2023 3:15,16.72,-52.2,7.59
64,4/28/2023 3:30,16.63,-52.3,7.59
65,4/28/2023 3:45,16.7,-52.6,7.59
66,4/28/2023 4:00,16.65,-52.81,7.6
67,4/28/2023 4:15,16.65,-52.88,7.6
68,4/28/2023 4:30,16.72,-52.94,7.6
69,4/28/2023 4:45,16.65,-53.08,7.6
70,4/28/2023 5:00,16.68,-53.13,7.6
71,4/28/2023 5:15,16.68,-53.13,7.6
72,4/28/2023 5:30,16.65,-53.19,7.61
73,4/28/2023 5:45,16.68,-53.19,7.61
74,4/28/2023 6:00,16.68,-53.22,7.61
75,4/28/2023 6:15,16.7,-53.28,7.61
76,4/28/2023 6:30,16.65,-53.31,7.61
77,4/28/2023 6:45,16.7,-53.06,7.6
78,4/28/2023 7:00,16.63,-53.36,7.61
79,4/28/2023 7:15,16.7,-53.5,7.61
80,4/28/2023 7:30,16.65,-53.6,7.61
81,4/28/2023 7:45,16.68,-53.55,7.61
82,4/28/2023 8:00,16.68,-53.49,7.61
83,4/28/2023 8:15,16.65,-53.41,7.61
84,4/28/2023 8:30,16.7,-52.88,7.6
85,4/28/2023 8:45,16.63,-52.83,7.6
86,4/28/2023 9:00,16.68,-52.63,7.6
87,4/28/2023 9:15,16.68,-52.55,7.59
88,4/28/2023 9:30,16.65,-52.3,7.59
89,4/28/2023 9:45,16.7,-52.44,7.59
90,4/28/2023 10:00,16.65,-52.72,7.6
91,4/28/2023 10:15,16.68,-52.31,7.59
92,4/28/2023 10:30,16.65,-52.81,7.6
93,4/28/2023 10:45,16.68,-52.55,7.59
94,4/28/2023 11:00,16.68,-52.08,7.59
95,4/28/2023 11:15,16.65,-51.8,7.58
96,4/28/2023 11:30,16.7,-51.6,7.58
97,4/28/2023 11:45,16.65,-51.58,7.58
98,4/28/2023 12:00,16.7,-51.24,7.57
99,4/28/2023 12:15,16.7,-51.3,7.57
100,4/28/2023 12:30,16.68,-51.36,7.57
101,4/28/2023 12:45,16.68,-51.5,7.57
102,4/28/2023 13:00,16.7,-51.49,7.57
103,4/28/2023 13:15,16.7,-51.56,7.58
104,4/28/2023 13:30,16.7,-51.63,7.58
105,4/28/2023 13:45,16.68,-51.77,7.58
106,4/28/2023 14:00,16.68,-51.88,7.58
107,4/28/2023 14:15,16.7,-52,7.58
