Date,Scallop_ID,Day,pCO2_history,pCO2_exposure,Replicate_tank,Note
20230424,1,pre,low,NA,8D,pre
20230424,2,pre,low,NA,8D,pre
20230424,3,pre,low,NA,8D,pre
20230424,4,pre,low,NA,8D,pre
20230424,5,pre,low,NA,8D,pre
20230424,6,pre,low,NA,8D,pre
20230424,7,pre,low,NA,8D,pre
20230424,8,pre,low,NA,8D,pre
20230424,9,pre,low,NA,8D,pre
20230424,10,pre,low,NA,8D,pre
20230424,11,pre,low,NA,8E,pre
20230424,12,pre,low,NA,8E,pre
20230424,13,pre,low,NA,8E,pre
20230424,14,pre,low,NA,8E,pre
20230424,15,pre,low,NA,8E,pre
20230424,16,pre,low,NA,8E,pre
20230424,17,pre,low,NA,8E,pre
20230424,18,pre,low,NA,8E,pre
20230424,19,pre,low,NA,8E,pre
20230424,20,pre,low,NA,8E,pre
20230424,21,pre,low,NA,8F,pre
20230424,22,pre,low,NA,8F,pre
20230424,23,pre,low,NA,8F,pre
20230424,24,pre,low,NA,8F,pre
20230424,25,pre,low,NA,8F,pre
20230424,26,pre,low,NA,8F,pre
20230424,27,pre,low,NA,8F,pre
20230424,28,pre,low,NA,8F,pre
20230424,29,pre,low,NA,8F,pre
20230424,30,pre,low,NA,8F,pre
20230424,31,pre,moderate,NA,7.5D,pre
20230424,32,pre,moderate,NA,7.5D,pre
20230424,33,pre,moderate,NA,7.5D,pre
20230424,34,pre,moderate,NA,7.5D,pre
20230424,35,pre,moderate,NA,7.5D,pre
20230424,36,pre,moderate,NA,7.5D,pre
20230424,37,pre,moderate,NA,7.5D,pre
20230424,38,pre,moderate,NA,7.5D,pre
20230424,39,pre,moderate,NA,7.5D,pre
20230424,40,pre,moderate,NA,7.5D,pre
20230424,41,pre,moderate,NA,7.5E,pre
20230424,42,pre,moderate,NA,7.5E,pre
20230424,43,pre,moderate,NA,7.5E,pre
20230424,44,pre,moderate,NA,7.5E,pre
20230424,45,pre,moderate,NA,7.5E,pre
20230424,46,pre,moderate,NA,7.5E,pre
20230424,47,pre,moderate,NA,7.5E,pre
20230424,48,pre,moderate,NA,7.5E,pre
20230424,49,pre,moderate,NA,7.5E,pre
20230424,50,pre,moderate,NA,7.5E,pre
20230424,51,pre,moderate,NA,7.5F,pre
20230424,52,pre,moderate,NA,7.5F,pre
20230424,53,pre,moderate,NA,7.5F,pre
20230424,54,pre,moderate,NA,7.5F,pre
20230424,55,pre,moderate,NA,7.5F,pre
20230424,56,pre,moderate,NA,7.5F,pre
20230424,57,pre,moderate,NA,7.5F,pre
20230424,58,pre,moderate,NA,7.5F,pre
20230424,59,pre,moderate,NA,7.5F,pre
20230424,60,pre,moderate,NA,7.5F,pre
20230424,61,pre,severe,NA,7D,pre
20230424,62,pre,severe,NA,7D,pre
20230424,63,pre,severe,NA,7D,pre
20230424,64,pre,severe,NA,7D,pre
20230424,65,pre,severe,NA,7D,pre
20230424,66,pre,severe,NA,7D,pre
20230424,67,pre,severe,NA,7D,pre
20230424,68,pre,severe,NA,7D,pre
20230424,69,pre,severe,NA,7D,pre
20230424,70,pre,severe,NA,7D,pre
20230424,71,pre,severe,NA,7E,pre
20230424,72,pre,severe,NA,7E,pre
20230424,73,pre,severe,NA,7E,pre
20230424,74,pre,severe,NA,7E,pre
20230424,75,pre,severe,NA,7E,pre
20230424,76,pre,severe,NA,7E,pre
20230424,77,pre,severe,NA,7E,pre
20230424,78,pre,severe,NA,7E,pre
20230424,79,pre,severe,NA,7E,pre
20230424,80,pre,severe,NA,7E,pre
20230424,81,pre,severe,NA,7F,pre
20230424,82,pre,severe,NA,7F,pre
20230424,83,pre,severe,NA,7F,pre
20230424,84,pre,severe,NA,7F,pre
20230424,85,pre,severe,NA,7F,pre
20230424,86,pre,severe,NA,7F,pre
20230424,87,pre,severe,NA,7F,pre
20230424,88,pre,severe,NA,7F,pre
20230424,89,pre,severe,NA,7F,pre
20230424,90,pre,severe,NA,7F,pre
20230502,1,1,low,low,8D,destructively sampled
20230502,4,1,low,low,8E,destructively sampled
20230502,7,1,low,low,8F,destructively sampled
20230502,8,1,low,low,8F,destructively sampled
20230502,9,1,low,low,8F,destructively sampled
20230502,11,1,low,moderate,7.5D,destructively sampled
20230502,12,1,low,moderate,7.5D,destructively sampled
20230502,13,1,low,moderate,7.5D,destructively sampled
20230502,15,1,low,moderate,7.5E,destructively sampled
20230502,18,1,low,moderate,7.5F,destructively sampled
20230502,21,1,low,severe,7D,destructively sampled
20230502,24,1,low,severe,7E,destructively sampled
20230502,25,1,low,severe,7E,destructively sampled
20230502,26,1,low,severe,7E,destructively sampled
20230502,28,1,low,severe,7F,destructively sampled
