initial_alias,converted_alias,name,description,namespace
LOC111110592,LOC111110592,LOC111110592,transcription initiation factor TFIID subunit 11-like,ENSG
LOC111122411,LOC111122411,LOC111122411,26S proteasome non-ATPase regulatory subunit 9-like,ENSG
LOC111123181,LOC111123181,LOC111123181,proteasome assembly chaperone 4-like,ENSG
LOC111126267,LOC111126267,LOC111126267,BTB/POZ domain-containing protein KCTD4-like,ENSG
LOC111132305,LOC111132305,LOC111132305,uncharacterized LOC111132305,ENSG
LOC111133731,LOC111133731,LOC111133731,INO80 complex subunit B-like,ENSG
LOC111134187,LOC111134187,LOC111134187,zinc finger HIT domain-containing protein 1-like,ENSG
LOC111136485,LOC111136485,LOC111136485,"COP9 signalosome complex subunit 7b-like, transcript variant X2",ENSG
LOC111136666,LOC111136666,LOC111136666,"eukaryotic translation initiation factor 5A-1-like, transcript variant X3",ENSG
LOC111099779,LOC111099779,LOC111099779,ATP synthase mitochondrial F1 complex assembly factor 1-like,ENSG
LOC111106223,LOC111106223,LOC111106223,"actin-related protein 2/3 complex subunit 4-like, transcript variant X1",ENSG
LOC111109666,LOC111109666,LOC111109666,probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,ENSG
LOC111118366,LOC111118366,LOC111118366,centromere protein X-like,ENSG
LOC111120820,LOC111120820,LOC111120820,vacuolar protein sorting-associated protein 72 homolog,ENSG
LOC111121760,LOC111121760,LOC111121760,gem-associated protein 6-like,ENSG
LOC111122765,LOC111122765,LOC111122765,vacuolar ATPase assembly integral membrane protein vma21-like,ENSG
LOC111122853,LOC111122853,LOC111122853,proteasome maturation protein-like,ENSG
LOC111125980,LOC111125980,LOC111125980,"U1 small nuclear ribonucleoprotein C-like, transcript variant X1",ENSG
LOC111125990,LOC111125990,LOC111125990,26S proteasome complex subunit SEM1-like,ENSG
LOC111126579,LOC111126579,LOC111126579,protein SET-like,ENSG
LOC111130641,LOC111130641,LOC111130641,tubulin-specific chaperone A-like,ENSG
LOC111134890,LOC111134890,LOC111134890,actin-depolymerizing factor 6-like,ENSG
LOC111135203,LOC111135203,LOC111135203,actin-related protein 2/3 complex subunit 3-like,ENSG
LOC111136320,LOC111136320,LOC111136320,small nuclear ribonucleoprotein G-like,ENSG
LOC111136413,LOC111136413,LOC111136413,small nuclear ribonucleoprotein Sm D3-like,ENSG
LOC111136505,LOC111136505,LOC111136505,"protein SCO1 homolog, mitochondrial-like",ENSG
