initial_alias,converted_alias,name,description,namespace
LOC111100011,LOC111100011,LOC111100011,"uncharacterized LOC111100011, transcript variant X3",ENSG
LOC111100677,LOC111100677,LOC111100677,V-type proton ATPase subunit E-like,ENSG
LOC111123623,LOC111123623,LOC111123623,V-type proton ATPase 16 kDa proteolipid subunit-like,ENSG
LOC111125836,LOC111125836,LOC111125836,V-type proton ATPase subunit G-like,ENSG
LOC111137078,LOC111137078,LOC111137078,V-type proton ATPase subunit e 2-like,ENSG
