source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,structural constituent of ribosome,GO:0003735,TRUE,1.38E-85,84.85969496,156,450,81,17566,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135345,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111121303,LOC111124595,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136579,LOC111136789,LOC111136890,LOC111137692"
GO:MF,structural molecule activity,GO:0005198,FALSE,1.51E-65,64.81978077,318,450,89,17566,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119449,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111123746,LOC111124252,LOC111124874,LOC111124901,LOC111125240,LOC111125548,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111130094,LOC111130534,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135345,LOC111135567,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111137089,LOC111137486,LOC111137900,LOC111137903,LOC111099983,LOC111107427,LOC111114496,LOC111121303,LOC111124595,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136579,LOC111136789,LOC111136890,LOC111137692"
GO:MF,RNA binding,GO:0003723,TRUE,6.04E-14,13.21898463,511,450,50,17566,"LOC111099660,LOC111099922,LOC111102380,LOC111105897,LOC111112585,LOC111118126,LOC111118274,LOC111118510,LOC111119040,LOC111124874,LOC111125548,LOC111126078,LOC111126281,LOC111126614,LOC111127354,LOC111128580,LOC111128721,LOC111129406,LOC111130552,LOC111132305,LOC111132903,LOC111135345,LOC111136230,LOC111136425,LOC111136468,LOC111136666,LOC111137770,LOC111107488,LOC111108729,LOC111110150,LOC111114461,LOC111118069,LOC111119195,LOC111120158,LOC111120664,LOC111121238,LOC111122102,LOC111126049,LOC111126771,LOC111128900,LOC111129496,LOC111130615,LOC111134475,LOC111134635,LOC111134884,LOC111136085,LOC111136320,LOC111136413,LOC111137165,LOC111137332"
GO:MF,electron transfer activity,GO:0009055,TRUE,1.67452E-05,4.77610863,24,450,8,17566,"LOC111129296,LOC111112645,LOC111115771,LOC111123896,LOC111132066,LOC111135946,LOC111136515,LOC111137688"
GO:MF,nucleic acid binding,GO:0003676,FALSE,0.000727273,3.138302803,2203,450,90,17566,"LOC111099660,LOC111099922,LOC111101149,LOC111102380,LOC111103789,LOC111105223,LOC111105897,LOC111112573,LOC111112585,LOC111118029,LOC111118126,LOC111118274,LOC111118510,LOC111119040,LOC111119449,LOC111122652,LOC111124697,LOC111124874,LOC111124901,LOC111125548,LOC111125652,LOC111125711,LOC111126078,LOC111126281,LOC111126498,LOC111126614,LOC111127354,LOC111128580,LOC111128721,LOC111129014,LOC111129406,LOC111129902,LOC111130067,LOC111130346,LOC111130552,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133335,LOC111134319,LOC111135210,LOC111135345,LOC111136230,LOC111136425,LOC111136468,LOC111136666,LOC111136786,LOC111137770,LOC111101857,LOC111102061,LOC111102906,LOC111105915,LOC111107427,LOC111107488,LOC111108729,LOC111108785,LOC111110150,LOC111110798,LOC111114461,LOC111118069,LOC111119151,LOC111119195,LOC111119625,LOC111120158,LOC111120664,LOC111120673,LOC111121238,LOC111122102,LOC111123159,LOC111123590,LOC111123724,LOC111124334,LOC111125980,LOC111126049,LOC111126771,LOC111126776,LOC111127822,LOC111128900,LOC111129496,LOC111130615,LOC111131718,LOC111134475,LOC111134635,LOC111134884,LOC111136085,LOC111136320,LOC111136413,LOC111137165,LOC111137332"
GO:MF,rRNA binding,GO:0019843,FALSE,0.00969166,2.013601839,17,450,5,17566,"LOC111118126,LOC111126614,LOC111127354,LOC111132903,LOC111134635"
GO:MF,oxidoreductase activity,GO:0016491,TRUE,0.018662928,1.72902021,831,450,40,17566,"LOC111102272,LOC111102601,LOC111121226,LOC111125061,LOC111126371,LOC111128051,LOC111129015,LOC111129296,LOC111130419,LOC111131171,LOC111134405,LOC111136468,LOC111138280,LOC111099143,LOC111100601,LOC111102390,LOC111102789,LOC111108184,LOC111108359,LOC111108431,LOC111108694,LOC111117553,LOC111118247,LOC111118384,LOC111118735,LOC111119379,LOC111123422,LOC111123913,LOC111126079,LOC111128562,LOC111129097,LOC111129319,LOC111130282,LOC111133902,LOC111135946,LOC111136515,LOC111136547,LOC111136868,LOC111137688,LOC111138180"
GO:MF,translation elongation factor activity,GO:0003746,TRUE,0.022763023,1.642770057,11,450,4,17566,"LOC111105223,LOC111112573,LOC111129902,LOC111136666"
GO:MF,translation regulator activity,GO:0045182,TRUE,0.025976279,1.585423053,60,450,8,17566,"LOC111105223,LOC111112573,LOC111118029,LOC111121370,LOC111125652,LOC111125711,LOC111129902,LOC111136666"
GO:MF,organic cyclic compound binding,GO:0097159,FALSE,0.041191006,1.385197596,4152,450,139,17566,"LOC111099660,LOC111099922,LOC111101149,LOC111102272,LOC111102380,LOC111102601,LOC111103789,LOC111105223,LOC111105897,LOC111112573,LOC111112585,LOC111112989,LOC111116615,LOC111118029,LOC111118126,LOC111118250,LOC111118274,LOC111118510,LOC111119040,LOC111119449,LOC111122652,LOC111123746,LOC111124697,LOC111124874,LOC111124901,LOC111125548,LOC111125652,LOC111125711,LOC111125826,LOC111126078,LOC111126281,LOC111126498,LOC111126614,LOC111127354,LOC111128580,LOC111128721,LOC111129014,LOC111129406,LOC111129681,LOC111129902,LOC111130067,LOC111130346,LOC111130552,LOC111130934,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133239,LOC111133335,LOC111134319,LOC111134929,LOC111135210,LOC111135345,LOC111135467,LOC111136230,LOC111136425,LOC111136468,LOC111136666,LOC111136786,LOC111137032,LOC111137486,LOC111137770,LOC111138280,LOC111099143,LOC111100601,LOC111101857,LOC111102061,LOC111102789,LOC111102906,LOC111104179,LOC111105915,LOC111106049,LOC111106170,LOC111107427,LOC111107488,LOC111108184,LOC111108232,LOC111108359,LOC111108729,LOC111108785,LOC111110150,LOC111110798,LOC111111739,LOC111112319,LOC111112645,LOC111114461,LOC111115065,LOC111115771,LOC111116971,LOC111118069,LOC111118459,LOC111119050,LOC111119151,LOC111119195,LOC111119379,LOC111119625,LOC111119627,LOC111120158,LOC111120664,LOC111120673,LOC111121238,LOC111122102,LOC111123159,LOC111123590,LOC111123724,LOC111124334,LOC111125980,LOC111126049,LOC111126313,LOC111126431,LOC111126771,LOC111126776,LOC111127822,LOC111128900,LOC111129496,LOC111129958,LOC111130282,LOC111130295,LOC111130300,LOC111130532,LOC111130582,LOC111130615,LOC111131388,LOC111131718,LOC111132066,LOC111134235,LOC111134475,LOC111134635,LOC111134884,LOC111135002,LOC111136090,LOC111136085,LOC111136320,LOC111136413,LOC111136547,LOC111136868,LOC111137165,LOC111137332"
