initial_alias,converted_alias,name,description,namespace
LOC111105223,LOC111105223,LOC111105223,uncharacterized LOC111105223,ENSG
LOC111112573,LOC111112573,LOC111112573,elongation factor 1-beta-like,ENSG
LOC111129902,LOC111129902,LOC111129902,elongation factor 1-gamma-like,ENSG
LOC111136666,LOC111136666,LOC111136666,"eukaryotic translation initiation factor 5A-1-like, transcript variant X3",ENSG
