initial_alias,converted_alias,name,description,namespace
LOC111129296,LOC111129296,LOC111129296,NADH-quinone oxidoreductase subunit B 2-like,ENSG
LOC111112645,LOC111112645,LOC111112645,cytochrome c-like,ENSG
LOC111115771,LOC111115771,LOC111115771,"electron transfer flavoprotein subunit alpha, mitochondrial-like",ENSG
LOC111123896,LOC111123896,LOC111123896,electron transfer flavoprotein subunit beta-like,ENSG
LOC111132066,LOC111132066,LOC111132066,"cytochrome c1-2, heme protein, mitochondrial-like",ENSG
LOC111135946,LOC111135946,LOC111135946,"cytochrome b-c1 complex subunit Rieske, mitochondrial-like",ENSG
LOC111136515,LOC111136515,LOC111136515,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial-like",ENSG
LOC111137688,LOC111137688,LOC111137688,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like",ENSG
