,Date,Scallop_ID,Day,pCO2_history,pCO2_exposure,SYBR_PI_count_alive,SYBR_PI_count_dead,MitoSoxGreen_Mean_FL1,JC10_FL1_monomer,JC10_FL2_Jaggregate
1,20230502,1,1,low,low,7196,77,72.06,1819.69,195950.52
2,20230502,4,1,low,low,1409,537,72.85,3000.97,321943.41
3,20230502,7,1,low,low,1558,1057,75.62,2917.74,360785.54
4,20230502,8,1,low,low,3938,789,80.29,1914.5,226523.6
5,20230502,9,1,low,low,15868,6744,57.32,2364.48,233159.02
6,20230502,11,1,low,moderate,1423,644,68.25,2621.17,357005.66
7,20230502,12,1,low,moderate,1274,383,56.62,NA,NA
8,20230502,13,1,low,moderate,1084,238,58.76,NA,NA
9,20230502,15,1,low,moderate,1719,2163,77.96,3217.81,223898.16
10,20230502,18,1,low,moderate,1432,519,55.4,2504.56,249589.39
11,20230502,21,1,low,severe,2341,939,67.14,2467.02,336592.63
12,20230502,24,1,low,severe,1176,230,NA,2750.96,350347.31
13,20230502,25,1,low,severe,981,419,79.73,2903.91,322225.51
14,20230502,26,1,low,severe,6240,723,69.23,2819.28,311198.57
15,20230502,28,1,low,severe,708,2,69.47,2462.43,364600.32
16,20230502,31,1,moderate,low,2494,89,70.17,1956.02,313882.24
17,20230502,32,1,moderate,low,1154,60,66.93,3654.67,435639.45
18,20230502,33,1,moderate,low,1159,577,79.74,2633.51,382333.28
19,20230502,35,1,moderate,low,3980,2161,75.55,2748.26,454506
20,20230502,38,1,moderate,low,1800,645,57.51,3191.37,293831.44
21,20230502,41,1,moderate,moderate,5734,3541,68.34,2570.27,312394.87
22,20230502,44,1,moderate,moderate,3553,2229,69.22,3017.73,473829.13
23,20230502,45,1,moderate,moderate,447,495,66.8,2950.97,383301.81
24,20230502,46,1,moderate,moderate,5509,3596,76.63,2731.47,393967.63
25,20230502,48,1,moderate,moderate,2694,8,84.73,3220.08,483530.72
26,20230502,51,1,moderate,severe,3419,1137,66.7,NA,NA
27,20230502,54,1,moderate,severe,1453,2610,70.1,2900.14,365645.17
28,20230502,57,1,moderate,severe,1502,827,67.86,2673.16,434263.17
29,20230502,58,1,moderate,severe,1554,423,65.55,3615.32,410991.35
30,20230502,59,1,moderate,severe,2456,949,67.93,2286.84,367879.13
31,20230502,61,1,severe,low,1185,486,63.61,2777.09,354924.84
32,20230502,64,1,severe,low,NA,NA,69.05,NA,NA
33,20230502,65,1,severe,low,4801,1754,66.84,2941.82,356152.54
34,20230502,66,1,severe,low,2577,933,70.33,3407.85,362545.76
35,20230502,68,1,severe,low,3364,1173,74.06,2020.83,430265.58
36,20230502,71,1,severe,moderate,2134,867,65.51,2791.49,317289.91
37,20230502,74,1,severe,moderate,1741,1115,69.11,NA,NA
38,20230502,77,1,severe,moderate,4266,1232,61.3,3276.44,331557.5
39,20230502,78,1,severe,moderate,1765,540,64.84,3968.69,385955.92
40,20230502,79,1,severe,moderate,3238,223,66.71,1922.19,343864.97
41,20230502,81,1,severe,severe,1257,723,62.95,3187.86,404598.29
42,20230502,82,1,severe,severe,2618,1760,67.11,2813.77,361319.93
43,20230502,83,1,severe,severe,2722,1580,67.56,3028.05,328777.03
44,20230502,85,1,severe,severe,2320,1125,78.52,3199.3,492970.59
45,20230502,88,1,severe,severe,1390,824,69.98,2747.48,378227.95
46,20230516,2,14,low,low,4250,513,4351.16,791004.04,573110.25
47,20230516,3,14,low,low,10595,1804,3549.43,613380.03,466033.73
48,20230516,5,14,low,low,NA,NA,NA,NA,NA
49,20230516,6,14,low,low,2646,197,5483.65,784628.45,554673.58
