"","Date","Scallop_ID","Day","pCO2_history","pCO2_exposure","SYBR_PI_count_alive","SYBR_PI_count_dead","MitoSoxGreen_Count_FL1","MitoSoxGreen_Mean_FL1","MitoSoxGreen_Median_FL1","JC10_FL1_monomer","JC10_FL2_Jaggregate","Notes","JC10_FL2_FL1_Ratio","SYBR_PI_prop_alive_ADJ","SYBR_PI_prop_dead_ADJ"
"1",20230502,"1",1,"low","low",7196,77,1107,72.06,65,1819.69,195950.52,"",107.6834625678,0.989412897016362,0.0105871029836381
"2",20230502,"4",1,"low","low",1409,537,432,72.85,68,3000.97,321943.41,"",107.279782870205,0.724049331963001,0.275950668036999
"3",20230502,"7",1,"low","low",1558,1057,412,75.62,67.5,2917.74,360785.54,"",123.652395347084,0.595793499043977,0.404206500956023
"4",20230502,"8",1,"low","low",3938,789,2717,80.29,72,1914.5,226523.6,"",118.319979106816,0.833086524222551,0.166913475777449
"5",20230502,"9",1,"low","low",15868,6744,1280,57.32,51,2364.48,233159.02,"",98.6090049397753,0.701751282504865,0.298248717495135
"6",20230502,"11",1,"low","moderate",1423,644,6766,68.25,64,2621.17,357005.66,"",136.200879759802,0.688437348814707,0.311562651185293
"7",20230502,"12",1,"low","moderate",1274,383,169,56.62,50,NA,NA,"omit for JC-10",NA,0.768859384429692,0.231140615570308
"8",20230502,"13",1,"low","moderate",1084,238,323,58.76,54,NA,NA,"omit for JC-10",NA,0.819969742813918,0.180030257186082
"9",20230502,"15",1,"low","moderate",1719,2163,1398,77.96,71,3217.81,223898.16,"",69.580913727038,0.442812982998454,0.557187017001546
"10",20230502,"18",1,"low","moderate",1432,519,204,55.4,52,2504.56,249589.39,"",99.6539871274795,0.733982573039467,0.266017426960533
"11",20230502,"21",1,"low","severe",2341,939,203,67.14,61,2467.02,336592.63,"",136.436927953563,0.713719512195122,0.286280487804878
"12",20230502,"24",1,"low","severe",1176,230,38,NA,49,2750.96,350347.31,"omit for MitoSox Green",127.354563497833,0.836415362731152,0.163584637268848
"13",20230502,"25",1,"low","severe",981,419,399,79.73,72,2903.91,322225.51,"",110.96263658309,0.700714285714286,0.299285714285714
"14",20230502,"26",1,"low","severe",6240,723,1095,69.23,64,2819.28,311198.57,"",110.382285548083,0.896165445928479,0.103834554071521
"15",20230502,"28",1,"low","severe",708,2,320,69.47,65,2462.43,364600.32,"",148.065252616318,0.997183098591549,0.0028169014084507
"16",20230502,"31",1,"moderate","low",2494,89,426,70.17,61,1956.02,313882.24,"",160.469852046503,0.965543941153697,0.0344560588463027
"17",20230502,"32",1,"moderate","low",1154,60,583,66.93,62,3654.67,435639.45,"",119.200762312329,0.950576606260296,0.0494233937397035
"18",20230502,"33",1,"moderate","low",1159,577,136,79.74,70,2633.51,382333.28,"questionable JC-10",145.18011323291,0.667626728110599,0.332373271889401
"19",20230502,"35",1,"moderate","low",3980,2161,1246,75.55,70,2748.26,454506,"",165.379549242066,0.648102914834717,0.351897085165283
"20",20230502,"38",1,"moderate","low",1800,645,384,57.51,53,3191.37,293831.44,"",92.0706279748196,0.736196319018405,0.263803680981595
"21",20230502,"41",1,"moderate","moderate",5734,3541,1218,68.34,62,2570.27,312394.87,"",121.541655156851,0.61822102425876,0.38177897574124
"22",20230502,"44",1,"moderate","moderate",3553,2229,6115,69.22,61,3017.73,473829.13,"",157.015084185795,0.61449325492909,0.38550674507091
"23",20230502,"45",1,"moderate","moderate",447,495,81,66.8,59,2950.97,383301.81,"",129.890107320644,0.474522292993631,0.525477707006369
"24",20230502,"46",1,"moderate","moderate",5509,3596,1646,76.63,70,2731.47,393967.63,"",144.232823351529,0.605052169137836,0.394947830862164
"25",20230502,"48",1,"moderate","moderate",2694,8,3435,84.73,76,3220.08,483530.72,"",150.161089165487,0.997039230199852,0.00296076980014804
"26",20230502,"51",1,"moderate","severe",3419,1137,547,66.7,61,NA,NA,"omit for JC-10",NA,0.750438981562774,0.249561018437226
"27",20230502,"54",1,"moderate","severe",1453,2610,1000,70.1,62,2900.14,365645.17,"",126.078454833215,0.357617523997046,0.642382476002954
"28",20230502,"57",1,"moderate","severe",1502,827,1420,67.86,61,2673.16,434263.17,"",162.453115413967,0.644911979390296,0.355088020609704
