"","Date","Scallop_ID","Day","pCO2_history","pCO2_exposure","SYBR_PI_count_alive","SYBR_PI_count_dead","MitoSoxGreen_Count_FL1","MitoSoxGreen_Mean_FL1","MitoSoxGreen_Median_FL1","JC10_FL1_monomer","JC10_FL2_Jaggregate","Notes","JC10_FL2_FL1_Ratio","SYBR_PI_prop_alive_ADJ","SYBR_PI_prop_dead_ADJ"
"29",20230502,"58",1,"moderate","severe",1554,423,434,65.55,60,3615.32,410991.35,"",113.68049024706,0.786039453717754,0.213960546282246
"30",20230502,"59",1,"moderate","severe",2456,949,443,67.93,61,2286.84,367879.13,"omit for JC-10",160.86789193822,0.72129221732746,0.27870778267254
"31",20230502,"61",1,"severe","low",1185,486,124,63.61,58,2777.09,354924.84,"",127.804586815696,0.709156193895871,0.290843806104129
"32",20230502,"64",1,"severe","low",NA,NA,1514,69.05,62,NA,NA,"",NA,NA,NA
"33",20230502,"65",1,"severe","low",4801,1754,610,66.84,59.5,2941.82,356152.54,"",121.06537449606,0.732418001525553,0.267581998474447
"34",20230502,"66",1,"severe","low",2577,933,977,70.33,62,3407.85,362545.76,"",106.385480581598,0.734188034188034,0.265811965811966
"35",20230502,"68",1,"severe","low",3364,1173,1739,74.06,69,2020.83,430265.58,"",212.915277386025,0.741459113951951,0.258540886048049
"36",20230502,"71",1,"severe","moderate",2134,867,261,65.51,61,2791.49,317289.91,"",113.663280183701,0.711096301232922,0.288903698767078
"37",20230502,"74",1,"severe","moderate",1741,1115,638,69.11,62,NA,NA,"omit JC-10 & MitoSox Green",NA,0.609593837535014,0.390406162464986
"38",20230502,"77",1,"severe","moderate",4266,1232,628,61.3,55,3276.44,331557.5,"",101.194436644651,0.775918515823936,0.224081484176064
"39",20230502,"78",1,"severe","moderate",1765,540,237,64.84,56,3968.69,385955.92,"",97.2502059873661,0.765726681127983,0.234273318872017
"40",20230502,"79",1,"severe","moderate",3238,223,945,66.71,61,1922.19,343864.97,"",178.892289523928,0.935567754984109,0.0644322450158914
"41",20230502,"81",1,"severe","severe",1257,723,536,62.95,58,3187.86,404598.29,"",126.91846254227,0.634848484848485,0.365151515151515
"42",20230502,"82",1,"severe","severe",2618,1760,1185,67.11,58,2813.77,361319.93,"",128.411323597878,0.597989949748744,0.402010050251256
"43",20230502,"83",1,"severe","severe",2722,1580,167,67.56,65,3028.05,328777.03,"",108.577147008801,0.632728963272896,0.367271036727104
"44",20230502,"85",1,"severe","severe",2320,1125,385,78.52,70,3199.3,492970.59,"",154.08701590973,0.67343976777939,0.32656023222061
"45",20230502,"88",1,"severe","severe",1390,824,169,69.98,66,2747.48,378227.95,"",137.663586268144,0.627822944896116,0.372177055103884
"46",20230516,"2",14,"low","low",4250,513,679,4351.16,3549,791004.04,573110.25,"",0.724535174308338,0.892294772202394,0.107705227797607
"47",20230516,"3",14,"low","low",10595,1804,8407,3549.43,3319,613380.03,466033.73,"",0.75977975676841,0.854504395515767,0.145495604484233
"48",20230516,"5",14,"low","low",NA,NA,537,NA,2373,NA,NA,"",NA,NA,NA
"49",20230516,"6",14,"low","low",2646,197,676,5483.65,4366.5,784628.45,554673.58,"",0.706925143996499,0.930706999648259,0.0692930003517411
"50",20230516,"10",14,"low","low",3432,474,2096,5820.78,4687,696731.96,597081.5,"",0.856974466909771,0.878648233486943,0.121351766513057
"51",20230516,"14",14,"low","moderate",6786,4363,1286,3304.6,3121.5,463433.8,482066.12,"",1.04020492247221,0.60866445421114,0.39133554578886
"52",20230516,"16",14,"low","moderate",12319,4077,1015,2884.8,2699,480734.9,442633.83,"",0.920744114895756,0.751341790680654,0.248658209319346
"53",20230516,"17",14,"low","moderate",7325,1361,211,2959.78,2639,573681.21,509508.84,"",0.888139320442446,0.843311075293576,0.156688924706424
"54",20230516,"19",14,"low","moderate",8604,8332,1572,3175.33,2935.5,342765.57,419945.01,"",1.22516683924818,0.508030231459613,0.491969768540387
"55",20230516,"20",14,"low","moderate",8128,1891,2440,4060.08,3275.5,323587.3,392025.67,"",1.21149893707201,0.811258608643577,0.188741391356423
"56",20230516,"22",14,"low","severe",5856,650,777,4811.77,4115,668789.49,532104.29,"",0.795622984446122,0.900092222563787,0.0999077774362127
"57",20230516,"23",14,"low","severe",16534,6048,13301,3996.38,3667,575426.66,477868.6,"",0.830459610613106,0.732176069435834,0.267823930564166
"58",20230516,"27",14,"low","severe",4154,423,82,3911.59,3464.5,452026.43,480072,"",1.06204409330667,0.907581385186804,0.0924186148131964
"59",20230516,"29",14,"low","severe",5676,3704,61,4780.89,3790,500099.11,493240.26,"",0.986285018583616,0.605117270788913,0.394882729211087
"60",20230516,"30",14,"low","severe",5935,3361,235,4496.92,3909,570211.94,459814.48,"",0.80639223373681,0.638446643717728,0.361553356282272
"61",20230516,"34",14,"moderate","low",1963,399,169,4603.11,3940,778844.87,589796.85,"",0.757271277911865,0.831075359864522,0.168924640135478
"62",20230516,"36",14,"moderate","low",9698,1088,922,4188.5,3713.5,786584.86,530488.63,"",0.674420087363492,0.899128499907287,0.100871500092713
"63",20230516,"37",14,"moderate","low",3779,593,547,4682.86,3798,668224.35,557113.45,"",0.833722162324674,0.864364135407136,0.135635864592864
"64",20230516,"39",14,"moderate","low",4184,1080,293,4052.89,3364,702041.65,550647.64,"",0.78435181160548,0.79483282674772,0.20516717325228
"65",20230516,"40",14,"moderate","low",2667,393,231,6167.05,3945,777754.52,588939.31,"",0.757230327636026,0.87156862745098,0.12843137254902
"66",20230516,"42",14,"moderate","moderate",2412,217,411,4267.55,3510,694978.47,591960.28,"",0.851767796490156,0.917459109927729,0.0825408900722708
"67",20230516,"43",14,"moderate","moderate",3725,455,298,3756.11,3198,650892.59,543757.82,"",0.835403303638777,0.891148325358852,0.108851674641148
"68",20230516,"47",14,"moderate","moderate",4649,997,642,3294.63,2854.5,534748.17,509766.09,"",0.953282532972483,0.823414806942968,0.176585193057032
"69",20230516,"49",14,"moderate","moderate",5921,1709,1531,3616.93,2838,675449.03,517846.82,"",0.766670462166479,0.776015727391874,0.223984272608126
"70",20230516,"50",14,"moderate","moderate",4140,375,21,3814.05,2800,811146.4,587395.68,"",0.72415494909427,0.916943521594684,0.0830564784053156
"71",20230516,"52",14,"moderate","severe",6572,1079,2666,5408.67,4099,714377.82,587827.15,"",0.822851904892568,0.858972683309371,0.141027316690629
"72",20230516,"53",14,"moderate","severe",1069,304,456,6401.86,4403,792818.95,650380.08,"",0.820338716676739,0.778587035688274,0.221412964311726
"73",20230516,"55",14,"moderate","severe",3274,1401,867,4958.32,4148,688305.31,514830.66,"",0.747968456032977,0.700320855614973,0.299679144385027
"74",20230516,"56",14,"moderate","severe",NA,NA,3244,NA,4211.5,NA,NA,"",NA,NA,NA
"75",20230516,"60",14,"moderate","severe",511,11,2692,4789.05,3610.5,628663.7,489279.92,"",0.778285623935341,0.978927203065134,0.0210727969348659
"76",20230516,"62",14,"severe","low",14988,2206,3359,5735.1,4151,673164.72,474461.16,"",0.704821785669338,0.871699430033733,0.128300569966267
"77",20230516,"63",14,"severe","low",8887,2589,1473,5838.22,4583,632590.05,561723.65,"",0.887974210153954,0.774398745207389,0.225601254792611
"78",20230516,"67",14,"severe","low",4786,598,646,5202.43,3888.5,723998.03,557563.01,"",0.770116750179555,0.888930163447251,0.111069836552749
"79",20230516,"69",14,"severe","low",9411,1540,2099,5169.19,3716,595827.15,476931.82,"",0.800453319389692,0.859373573189663,0.140626426810337
"80",20230516,"70",14,"severe","low",15762,1709,5333,4754.09,3899,732319.6,541047.47,"",0.738813313203689,0.902180756682502,0.0978192433174976
"81",20230516,"72",14,"severe","moderate",7312,3954,4411,5456.19,4749,593179.85,470035.6,"",0.792399809265268,0.649032487129416,0.350967512870584
"82",20230516,"73",14,"severe","moderate",9722,1217,9125,4554.72,4158,719458.79,477551.85,"",0.663765397876368,0.888746686168754,0.111253313831246
"83",20230516,"75",14,"severe","moderate",6552,1395,5010,4274.47,3690,800224.86,531760.8,"",0.664514221665146,0.824462061155153,0.175537938844847
"84",20230516,"76",14,"severe","moderate",9457,2071,5649,5966.13,4734,704920.84,533987.6,"",0.757514276354775,0.820350451075642,0.179649548924358
"85",20230516,"80",14,"severe","moderate",1172,379,583,5896.23,4484,598538.46,680162.71,"",1.13637260669933,0.755641521598968,0.244358478401032
"86",20230516,"84",14,"severe","severe",11770,2007,1605,4854.99,4103,701778.65,512188.55,"",0.729843448500464,0.854322421427016,0.145677578572984
"87",20230516,"86",14,"severe","severe",4030,458,2010,5697.12,4739.5,657782.9,551471.88,"",0.838379775454789,0.89795008912656,0.10204991087344
"88",20230516,"87",14,"severe","severe",NA,NA,8526,NA,3770,NA,NA,"",NA,NA,NA
"89",20230516,"89",14,"severe","severe",4130,665,398,5908.06,4031,444859.73,467284.51,"",1.0504086535322,0.861313868613139,0.138686131386861
"90",20230516,"90",14,"severe","severe",9619,1270,525,5196.1,4219,661759.25,471516.34,"",0.712519454771505,0.883368537055744,0.116631462944256
