Date,Scallop_ID,Day,pCO2_history,pCO2_exposure,SYBR_PI_count_alive,SYBR_PI_count_dead,MitoSoxGreen_Count_FL1,MitoSoxGreen_Mean_FL1,MitoSoxGreen_Median_FL1,JC10_FL1_monomer,JC10_FL2_Jaggregate,Notes
20230502,1,1,low,low,7196,77,1107,72.06,65,1819.69,195950.52,
20230502,4,1,low,low,1409,537,432,72.85,68,3000.97,321943.41,
20230502,7,1,low,low,1558,1057,412,75.62,67.5,2917.74,360785.54,
20230502,8,1,low,low,3938,789,2717,80.29,72,1914.5,226523.6,
20230502,9,1,low,low,15868,6744,1280,57.32,51,2364.48,233159.02,
20230502,11,1,low,moderate,1423,644,6766,68.25,64,2621.17,357005.66,
20230502,12,1,low,moderate,1274,383,169,56.62,50,2711.26,354871.21,omit for JC-10
20230502,13,1,low,moderate,1084,238,323,58.76,54,2108.91,259782.5,omit for JC-10
20230502,15,1,low,moderate,1719,2163,1398,77.96,71,3217.81,223898.16,
20230502,18,1,low,moderate,1432,519,204,55.4,52,2504.56,249589.39,
20230502,21,1,low,severe,2341,939,203,67.14,61,2467.02,336592.63,
20230502,24,1,low,severe,1176,230,38,50.13,49,2750.96,350347.31,omit for MitoSox Green
20230502,25,1,low,severe,981,419,399,79.73,72,2903.91,322225.51,
20230502,26,1,low,severe,6240,723,1095,69.23,64,2819.28,311198.57,
20230502,28,1,low,severe,708,2,320,69.47,65,2462.43,364600.32,
20230502,31,1,moderate,low,2494,89,426,70.17,61,1956.02,313882.24,
20230502,32,1,moderate,low,1154,60,583,66.93,62,3654.67,435639.45,
20230502,33,1,moderate,low,1159,577,136,79.74,70,2633.51,382333.28,questionable JC-10
20230502,35,1,moderate,low,3980,2161,1246,75.55,70,2748.26,454506,
20230502,38,1,moderate,low,1800,645,384,57.51,53,3191.37,293831.44,
20230502,41,1,moderate,moderate,5734,3541,1218,68.34,62,2570.27,312394.87,
20230502,44,1,moderate,moderate,3553,2229,6115,69.22,61,3017.73,473829.13,
20230502,45,1,moderate,moderate,447,495,81,66.8,59,2950.97,383301.81,
20230502,46,1,moderate,moderate,5509,3596,1646,76.63,70,2731.47,393967.63,
20230502,48,1,moderate,moderate,2694,8,3435,84.73,76,3220.08,483530.72,
20230502,51,1,moderate,severe,3419,1137,547,66.7,61,1823.49,310841.47,omit for JC-10
20230502,54,1,moderate,severe,1453,2610,1000,70.1,62,2900.14,365645.17,
20230502,57,1,moderate,severe,1502,827,1420,67.86,61,2673.16,434263.17,
20230502,58,1,moderate,severe,1554,423,434,65.55,60,3615.32,410991.35,
20230502,59,1,moderate,severe,2456,949,443,67.93,61,2286.84,367879.13,omit for JC-10
20230502,61,1,severe,low,1185,486,124,63.61,58,2777.09,354924.84,
20230502,64,1,severe,low,NA,NA,1514,69.05,62,NA,NA,
20230502,65,1,severe,low,4801,1754,610,66.84,59.5,2941.82,356152.54,
20230502,66,1,severe,low,2577,933,977,70.33,62,3407.85,362545.76,
20230502,68,1,severe,low,3364,1173,1739,74.06,69,2020.83,430265.58,
20230502,71,1,severe,moderate,2134,867,261,65.51,61,2791.49,317289.91,
20230502,74,1,severe,moderate,1741,1115,638,69.11,62,1575.52,470327.54,omit JC-10 & MitoSox Green
20230502,77,1,severe,moderate,4266,1232,628,61.3,55,3276.44,331557.5,
20230502,78,1,severe,moderate,1765,540,237,64.84,56,3968.69,385955.92,
20230502,79,1,severe,moderate,3238,223,945,66.71,61,1922.19,343864.97,
20230502,81,1,severe,severe,1257,723,536,62.95,58,3187.86,404598.29,
20230502,82,1,severe,severe,2618,1760,1185,67.11,58,2813.77,361319.93,
20230502,83,1,severe,severe,2722,1580,167,67.56,65,3028.05,328777.03,
20230502,85,1,severe,severe,2320,1125,385,78.52,70,3199.3,492970.59,
20230502,88,1,severe,severe,1390,824,169,69.98,66,2747.48,378227.95,
20230516,2,14,low,low,4250,513,679,4351.16,3549,791004.04,573110.25,
20230516,3,14,low,low,10595,1804,8407,3549.43,3319,613380.03,466033.73,
