Date,Scallop_ID,Day,pCO2_history,pCO2_exposure,SYBR_PI_count_alive,SYBR_PI_count_dead,MitoSoxGreen_Count_FL1,MitoSoxGreen_Mean_FL1,MitoSoxGreen_Median_FL1,JC10_FL1_monomer,JC10_FL2_Jaggregate,Notes
20230516,5,14,low,low,8228,4618,537,2753.81,2373,232924.88,0,
20230516,6,14,low,low,2646,197,676,5483.65,4366.5,784628.45,554673.58,
20230516,10,14,low,low,3432,474,2096,5820.78,4687,696731.96,597081.5,
20230516,14,14,low,moderate,6786,4363,1286,3304.6,3121.5,463433.8,482066.12,
20230516,16,14,low,moderate,12319,4077,1015,2884.8,2699,480734.9,442633.83,
20230516,17,14,low,moderate,7325,1361,211,2959.78,2639,573681.21,509508.84,
20230516,19,14,low,moderate,8604,8332,1572,3175.33,2935.5,342765.57,419945.01,
20230516,20,14,low,moderate,8128,1891,2440,4060.08,3275.5,323587.3,392025.67,
20230516,22,14,low,severe,5856,650,777,4811.77,4115,668789.49,532104.29,
20230516,23,14,low,severe,16534,6048,13301,3996.38,3667,575426.66,477868.6,
20230516,27,14,low,severe,4154,423,82,3911.59,3464.5,452026.43,480072,
20230516,29,14,low,severe,5676,3704,61,4780.89,3790,500099.11,493240.26,
20230516,30,14,low,severe,5935,3361,235,4496.92,3909,570211.94,459814.48,
20230516,34,14,moderate,low,1963,399,169,4603.11,3940,778844.87,589796.85,
20230516,36,14,moderate,low,9698,1088,922,4188.5,3713.5,786584.86,530488.63,
20230516,37,14,moderate,low,3779,593,547,4682.86,3798,668224.35,557113.45,
20230516,39,14,moderate,low,4184,1080,293,4052.89,3364,702041.65,550647.64,
20230516,40,14,moderate,low,2667,393,231,6167.05,3945,777754.52,588939.31,
20230516,42,14,moderate,moderate,2412,217,411,4267.55,3510,694978.47,591960.28,
20230516,43,14,moderate,moderate,3725,455,298,3756.11,3198,650892.59,543757.82,
20230516,47,14,moderate,moderate,4649,997,642,3294.63,2854.5,534748.17,509766.09,
20230516,49,14,moderate,moderate,5921,1709,1531,3616.93,2838,675449.03,517846.82,
20230516,50,14,moderate,moderate,4140,375,21,3814.05,2800,811146.4,587395.68,
20230516,52,14,moderate,severe,6572,1079,2666,5408.67,4099,714377.82,587827.15,
20230516,53,14,moderate,severe,1069,304,456,6401.86,4403,792818.95,650380.08,
20230516,55,14,moderate,severe,3274,1401,867,4958.32,4148,688305.31,514830.66,
20230516,56,14,moderate,severe,51532,3362,3244,5039.56,4211.5,72697.61,1957917,
20230516,60,14,moderate,severe,511,11,2692,4789.05,3610.5,628663.7,489279.92,
20230516,62,14,severe,low,14988,2206,3359,5735.1,4151,673164.72,474461.16,
20230516,63,14,severe,low,8887,2589,1473,5838.22,4583,632590.05,561723.65,
20230516,67,14,severe,low,4786,598,646,5202.43,3888.5,723998.03,557563.01,
20230516,69,14,severe,low,9411,1540,2099,5169.19,3716,595827.15,476931.82,
20230516,70,14,severe,low,15762,1709,5333,4754.09,3899,732319.6,541047.47,
20230516,72,14,severe,moderate,7312,3954,4411,5456.19,4749,593179.85,470035.6,
20230516,73,14,severe,moderate,9722,1217,9125,4554.72,4158,719458.79,477551.85,
20230516,75,14,severe,moderate,6552,1395,5010,4274.47,3690,800224.86,531760.8,
20230516,76,14,severe,moderate,9457,2071,5649,5966.13,4734,704920.84,533987.6,
20230516,80,14,severe,moderate,1172,379,583,5896.23,4484,598538.46,680162.71,
20230516,84,14,severe,severe,11770,2007,1605,4854.99,4103,701778.65,512188.55,
20230516,86,14,severe,severe,4030,458,2010,5697.12,4739.5,657782.9,551471.88,
20230516,87,14,severe,severe,27873,4088,8526,4269.89,3770,334686.81,1688284,
20230516,89,14,severe,severe,4130,665,398,5908.06,4031,444859.73,467284.51,
20230516,90,14,severe,severe,9619,1270,525,5196.1,4219,661759.25,471516.34,
