initial_alias,converted_alias,name,description,namespace
LOC111101041,LOC111101041,LOC111101041,V-type proton ATPase subunit B,ENSG
LOC111125575,LOC111125575,LOC111125575,V-type proton ATPase catalytic subunit A-like,ENSG
LOC111134337,LOC111134337,LOC111134337,"V-type proton ATPase subunit H-like, transcript variant X2",ENSG
