"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","anion binding","GO:0043168","true","0.000031849181260860894","4.496901727487517","1928","323","67","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104083,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120480,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111124684,LOC111124742,LOC111125428,LOC111127901,LOC111129876,LOC111130121,LOC111130266,LOC111130627,LOC111135167,LOC111135799,LOC111135863,LOC111136587,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111114596,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111134506,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","heterocyclic compound binding","GO:1901363","false","0.00007981991420995931","4.097888743329261","2060","323","69","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104083,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111110098,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120480,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111123809,LOC111124684,LOC111124742,LOC111125428,LOC111127901,LOC111129876,LOC111130121,LOC111130266,LOC111130627,LOC111135167,LOC111135799,LOC111135863,LOC111136587,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111114596,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111134506,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","ubiquitin-like protein peptidase activity","GO:0019783","true","0.00008479963717084678","4.071606005939468","69","323","10","17566","LOC111100561,LOC111107844,LOC111110179,LOC111119194,LOC111125954,LOC111126744,LOC111133508,LOC111135619,LOC111108424,LOC111138241"
"GO:MF","nucleotide binding","GO:0000166","false","0.00012120636028228398","3.9164745900457714","1958","323","66","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104083,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111110098,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111123809,LOC111124684,LOC111124742,LOC111125428,LOC111127901,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136587,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111114596,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111134506,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","nucleoside phosphate binding","GO:1901265","false","0.00012120636028228398","3.9164745900457714","1958","323","66","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104083,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111110098,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111123809,LOC111124684,LOC111124742,LOC111125428,LOC111127901,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136587,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111114596,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111134506,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","purine nucleotide binding","GO:0017076","false","0.0001939607119378601","3.7122862304643465","1777","323","61","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111110098,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111123809,LOC111124684,LOC111124742,LOC111125428,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","ribonucleotide binding","GO:0032553","false","0.0002613415847709826","3.5827914796732374","1711","323","59","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111124684,LOC111124742,LOC111125428,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111114596,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132874,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","adenyl nucleotide binding","GO:0030554","false","0.0003096960556297149","3.509064325896549","1359","323","50","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104302,LOC111107462,LOC111108651,LOC111108659,LOC111110098,LOC111112024,LOC111113298,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111123342,LOC111123809,LOC111124684,LOC111124742,LOC111125428,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136675,LOC111100562,LOC111101041,LOC111112439,LOC111118263,LOC111120831,LOC111121838,LOC111122859,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130537,LOC111131693,LOC111132090,LOC111132874,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","false","0.0003723998894869795","3.428990456571474","1689","323","58","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111124684,LOC111124742,LOC111125428,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132874,LOC111135545,LOC111135733,LOC111137330"
"GO:MF","purine ribonucleotide binding","GO:0032555","false","0.0004483302321200895","3.3484019744952667","1699","323","58","17566","LOC111101424,LOC111103394,LOC111103560,LOC111103614,LOC111104302,LOC111106228,LOC111107462,LOC111108521,LOC111108651,LOC111108659,LOC111112024,LOC111112993,LOC111113298,LOC111114498,LOC111114585,LOC111115500,LOC111119239,LOC111119485,LOC111119696,LOC111120855,LOC111120956,LOC111120974,LOC111121647,LOC111122076,LOC111122641,LOC111123342,LOC111124684,LOC111124742,LOC111125428,LOC111129876,LOC111130266,LOC111135167,LOC111135799,LOC111135863,LOC111136675,LOC111100562,LOC111101041,LOC111104342,LOC111112319,LOC111112439,LOC111118263,LOC111120831,LOC111121517,LOC111121838,LOC111122859,LOC111123035,LOC111124294,LOC111125149,LOC111125575,LOC111125896,LOC111128337,LOC111130166,LOC111130537,LOC111131693,LOC111132874,LOC111135545,LOC111135733,LOC111137330"
