initial_alias,converted_alias,name,description,namespace
LOC111100561,LOC111100561,LOC111100561,"probable ubiquitin carboxyl-terminal hydrolase FAF-X, transcript variant X1",ENSG
LOC111107844,LOC111107844,LOC111107844,"ubiquitin carboxyl-terminal hydrolase 48-like, transcript variant X1",ENSG
LOC111119194,LOC111119194,LOC111119194,"uncharacterized protein DDB_G0283357-like, transcript variant X2",ENSG
LOC111125954,LOC111125954,LOC111125954,"ubiquitin carboxyl-terminal hydrolase 20-like, transcript variant X1",ENSG
LOC111126744,LOC111126744,LOC111126744,"ubiquitin carboxyl-terminal hydrolase 2-like, transcript variant X2",ENSG
LOC111133508,LOC111133508,LOC111133508,"uncharacterized LOC111133508, transcript variant X2",ENSG
LOC111135619,LOC111135619,LOC111135619,ubiquitin carboxyl-terminal hydrolase 10-like,ENSG
LOC111138241,LOC111138241,LOC111138241,ubiquitin carboxyl-terminal hydrolase 5-like,ENSG
