source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,tubulin binding,GO:0015631,TRUE,5.43E-08,7.265108761,114,324,16,17566,"LOC111103814,LOC111136780,LOC111138334,LOC111109732,LOC111121925,LOC111100645,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111114979,LOC111103866,LOC111125754,LOC111121192,LOC111125479,LOC111133328"
GO:MF,cytoskeletal protein binding,GO:0008092,FALSE,1.45941E-06,5.835821235,227,324,20,17566,"LOC111122703,LOC111103814,LOC111136780,LOC111138334,LOC111109732,LOC111121925,LOC111100645,LOC111131811,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111121404,LOC111121822,LOC111114979,LOC111103866,LOC111125754,LOC111121192,LOC111125479,LOC111133328"
GO:MF,binding,GO:0005488,FALSE,5.35514E-06,5.271228984,11703,324,260,17566,"LOC111130755,LOC111125839,LOC111119284,LOC111130301,LOC111103614,LOC111130166,LOC111124314,LOC111106228,LOC111119545,LOC111101253,LOC111122703,LOC111135733,LOC111103452,LOC111106392,LOC111119832,LOC111130486,LOC111118438,LOC111129239,LOC111125061,LOC111125555,LOC111104021,LOC111125740,LOC111124887,LOC111127316,LOC111128758,LOC111124294,LOC111132058,LOC111131840,LOC111130240,LOC111130105,LOC111127735,LOC111132332,LOC111121200,LOC111120787,LOC111119327,LOC111129799,LOC111117514,LOC111120630,LOC111099580,LOC111130588,LOC111125942,LOC111137169,LOC111125001,LOC111120808,LOC111120600,LOC111136672,LOC111103429,LOC111137032,LOC111125401,LOC111125428,LOC111117553,LOC111129839,LOC111130309,LOC111132874,LOC111103814,LOC111120810,LOC111121059,LOC111125129,LOC111135726,LOC111112117,LOC111118071,LOC111101291,LOC111107113,LOC111112387,LOC111100540,LOC111101424,LOC111103394,LOC111129376,LOC111121849,LOC111104824,LOC111118699,LOC111134121,LOC111136156,LOC111119770,LOC111126847,LOC111135064,LOC111117947,LOC111133033,LOC111108384,LOC111134076,LOC111118051,LOC111125115,LOC111136780,LOC111101857,LOC111132090,LOC111138334,LOC111115607,LOC111119582,LOC111109732,LOC111124486,LOC111101496,LOC111124780,LOC111123621,LOC111123162,LOC111120660,LOC111109703,LOC111102644,LOC111136050,LOC111131719,LOC111120823,LOC111108798,LOC111121925,LOC111138421,LOC111100645,LOC111103820,LOC111129666,LOC111107208,LOC111109886,LOC111136070,LOC111101808,LOC111113369,LOC111120648,LOC111131811,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111108474,LOC111134314,LOC111133152,LOC111120536,LOC111122590,LOC111130668,LOC111129667,LOC111129962,LOC111129884,LOC111134709,LOC111126510,LOC111106068,LOC111121733,LOC111137740,LOC111137543,LOC111103635,LOC111128754,LOC111114899,LOC111137999,LOC111127090,LOC111108651,LOC111114019,LOC111137796,LOC111130006,LOC111128069,LOC111104266,LOC111099598,LOC111134885,LOC111136057,LOC111110204,LOC111126780,LOC111135057,LOC111118493,LOC111126890,LOC111118333,LOC111131539,LOC111134659,LOC111119397,LOC111115153,LOC111130627,LOC111137630,LOC111125621,LOC111121404,LOC111133889,LOC111120673,LOC111132361,LOC111127975,LOC111128500,LOC111102234,LOC111124772,LOC111125407,LOC111124373,LOC111126186,LOC111136573,LOC111123809,LOC111130029,LOC111117151,LOC111134716,LOC111120525,LOC111126900,LOC111123907,LOC111103792,LOC111120507,LOC111126159,LOC111128103,LOC111137379,LOC111122018,LOC111138028,LOC111129820,LOC111124672,LOC111137042,LOC111119531,LOC111119788,LOC111124543,LOC111114537,LOC111115421,LOC111137936,LOC111129464,LOC111121822,LOC111122502,LOC111118539,LOC111103325,LOC111114979,LOC111107542,LOC111123066,LOC111131580,LOC111136667,LOC111119395,LOC111127536,LOC111120813,LOC111128088,LOC111103866,LOC111130375,LOC111112138,LOC111125754,LOC111118002,LOC111132857,LOC111124987,LOC111126178,LOC111127370,LOC111104125,LOC111123078,LOC111123470,LOC111104253,LOC111123746,LOC111121192,LOC111125315,LOC111119072,LOC111135147,LOC111128153,LOC111119766,LOC111113157,LOC111130848,LOC111104626,LOC111133539,LOC111113324,LOC111125479,LOC111128350,LOC111130066,LOC111129915,LOC111124596,LOC111121413,LOC111121274,LOC111119100,LOC111118094,LOC111119080,LOC111121047,LOC111103039,LOC111121662,LOC111133328,LOC111113633,LOC111104507,LOC111100269,LOC111101703,LOC111130980,LOC111113124,LOC111123900,LOC111136559,LOC111137983,LOC111136516,LOC111119946,LOC111106010,LOC111133725"
GO:MF,protein binding,GO:0005515,FALSE,5.49634E-06,5.259926689,5399,324,146,17566,"LOC111125839,LOC111122703,LOC111103452,LOC111106392,LOC111119832,LOC111130486,LOC111118438,LOC111129239,LOC111125061,LOC111125555,LOC111104021,LOC111125740,LOC111124887,LOC111127316,LOC111132058,LOC111131840,LOC111127735,LOC111099580,LOC111125942,LOC111137169,LOC111125001,LOC111120808,LOC111120600,LOC111136672,LOC111103429,LOC111125428,LOC111103814,LOC111112117,LOC111112387,LOC111100540,LOC111101424,LOC111103394,LOC111129376,LOC111121849,LOC111104824,LOC111136156,LOC111117947,LOC111133033,LOC111108384,LOC111134076,LOC111136780,LOC111138334,LOC111115607,LOC111109732,LOC111123621,LOC111102644,LOC111120823,LOC111108798,LOC111121925,LOC111138421,LOC111100645,LOC111103820,LOC111129666,LOC111107208,LOC111109886,LOC111136070,LOC111101808,LOC111113369,LOC111131811,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111134314,LOC111133152,LOC111120536,LOC111122590,LOC111130668,LOC111129667,LOC111129962,LOC111129884,LOC111134709,LOC111126510,LOC111106068,LOC111121733,LOC111137740,LOC111137543,LOC111103635,LOC111137999,LOC111127090,LOC111114019,LOC111128069,LOC111099598,LOC111134885,LOC111110204,LOC111126780,LOC111115153,LOC111121404,LOC111132361,LOC111127975,LOC111128500,LOC111124373,LOC111117151,LOC111134716,LOC111126900,LOC111128103,LOC111137379,LOC111122018,LOC111119531,LOC111119788,LOC111114537,LOC111115421,LOC111137936,LOC111129464,LOC111121822,LOC111114979,LOC111107542,LOC111131580,LOC111127536,LOC111120813,LOC111128088,LOC111103866,LOC111130375,LOC111112138,LOC111125754,LOC111126178,LOC111127370,LOC111104125,LOC111123078,LOC111121192,LOC111125315,LOC111119072,LOC111128153,LOC111119766,LOC111130848,LOC111104626,LOC111113324,LOC111125479,LOC111128350,LOC111124596,LOC111121413,LOC111119100,LOC111118094,LOC111119080,LOC111121047,LOC111103039,LOC111121662,LOC111133328,LOC111113633,LOC111100269,LOC111101703,LOC111113124,LOC111137983,LOC111136516,LOC111119946,LOC111106010"
GO:MF,microtubule binding,GO:0008017,FALSE,2.12961E-05,4.671700334,92,324,12,17566,"LOC111103814,LOC111138334,LOC111109732,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111114979,LOC111103866,LOC111125754,LOC111125479,LOC111133328"
GO:MF,ligase activity,GO:0016874,TRUE,0.035438981,1.450518773,135,324,10,17566,"LOC111119284,LOC111130166,LOC111135733,LOC111130240,LOC111130105,LOC111132874,LOC111123929,LOC111104253,LOC111106048,LOC111123900"
GO:BP,microtubule-based process,GO:0007017,TRUE,7.55E-13,12.12199027,198,194,27,9567,"LOC111110718,LOC111122642,LOC111101168,LOC111119280,LOC111138395,LOC111125428,LOC111130400,LOC111124399,LOC111101424,LOC111103394,LOC111129389,LOC111136780,LOC111121925,LOC111100645,LOC111119668,LOC111124684,LOC111122805,LOC111112439,LOC111100563,LOC111129250,LOC111135089,LOC111099776,LOC111121573,LOC111103866,LOC111123746,LOC111121192,LOC111136516"
GO:BP,cilium organization,GO:0044782,FALSE,1.03E-10,9.985569518,58,194,15,9567,"LOC111131840,LOC111110718,LOC111122642,LOC111101168,LOC111119280,LOC111138395,LOC111130400,LOC111124399,LOC111129389,LOC111108798,LOC111121925,LOC111100645,LOC111129250,LOC111128088,LOC111136516"
GO:BP,cilium assembly,GO:0060271,FALSE,2.65E-10,9.576731731,51,194,14,9567,"LOC111131840,LOC111110718,LOC111122642,LOC111101168,LOC111119280,LOC111138395,LOC111130400,LOC111124399,LOC111129389,LOC111108798,LOC111121925,LOC111100645,LOC111129250,LOC111128088"
GO:BP,cell projection assembly,GO:0030031,FALSE,2.65E-10,9.576731731,51,194,14,9567,"LOC111131840,LOC111110718,LOC111122642,LOC111101168,LOC111119280,LOC111138395,LOC111130400,LOC111124399,LOC111129389,LOC111108798,LOC111121925,LOC111100645,LOC111129250,LOC111128088"
