"pCO2_treatment","pH","Salinity","Temperature","pH_measured","TA","pCO2","Calcite.sat","Aragonite.Sat"
"Low","7.8801 ± 0.0108 (57)","27.74 ± 0.1 (57)","17.7 ± 0.6 (57)","7.9499 ± 0.0153 (42)","1958.88 ± 4.71 (49)","471 ± 37 (42)","2.80053 ± 0.05337 (42)","1.78 ± 0.0352 (42)"
"Moderate","7.7551 ± 0.00736 (64)","27.75 ± 0.1 (64)","17.7 ± 0.6 (64)","7.812 ± 0.0123 (49)","1960.82 ± 4.966 (56)","672 ± 22 (49)","2.07843 ± 0.0382 (49)","1.32 ± 0.0255 (49)"
"High","7.6576 ± 0.0105 (64)","27.58 ± 0.1 (64)","17 ± 0.6 (64)","7.7402 ± 0.0108 (49)","1956.92 ± 4.627 (56)","821 ± 13 (49)","1.7622 ± 0.084 (49)","1.12 ± 0.0562 (49)"
