"pCO2_treatment","pH","Salinity","Temperature","pH_measured","TA","pCO2","Calcite.sat","Aragonite.Sat"
"Low","7.8336 ± 0.0123 (3)","24.93 ± 1 (3)","16.8 ± 0.3 (3)","7.9226 ± 0.0113 (3)","1836.32 ± 67.06 (3)","477 ± 8.2 (3)","2.19 ± 0.1071 (3)","1.37 ± 0.0713 (3)"
"Moderate","7.6672 ± 0.0138 (3)","24.85 ± 1 (3)","16.9 ± 0.3 (3)","7.7514 ± 0.0173 (3)","1839.56 ± 67.75 (3)","737 ± 17 (3)","1.54222 ± 0.1334 (3)","0.964 ± 0.0877 (3)"
"High","7.5935 ± 0.0107 (3)","24.92 ± 1 (3)","16.8 ± 0.3 (3)","7.676 ± 0.015 (3)","1838.26 ± 66.97 (3)","894 ± 11 (3)","1.31667 ± 0.1718 (3)","0.823 ± 0.113 (3)"
