"Treatment","variable","mean","sd","se","n"
"7.5","pH",7.72640586580087,0.0757840183007892,0.00863639041198569,77
"7.5","Salinity",26.5665757575758,0.633724446291199,0.0722196032159099,77
"7.5","Temperature",17.0429437229437,3.1850476077453,0.362969861430046,77
"7.5","pH_measured",7.77849047619048,0.0929257750011566,0.0105898748870904,77
"7.5","TA_mmol_kgSW",1916.90624445156,42.4548162016977,4.90225991248925,75
"7.5","pCO2",722.40920995671,165.858343084568,18.9013123885578,77
"7.5","WCa",1.77231385281385,0.289249560864913,0.0329630466968627,77
"7.5","WAr",1.1162012987013,0.181869413637127,0.0207259432184633,77
"8","pH",7.84561988888889,0.0774216567373155,0.00893988287167918,75
"8","Salinity",26.5657133333333,0.632909502749936,0.0730820943570695,75
"8","Temperature",17.0756222222222,3.20910983961483,0.37055608595214,75
"8","pH_measured",7.89894377777778,0.0836568972784806,0.00965986643265993,75
"8","TA_mmol_kgSW",1914.35414772146,42.492587708169,4.9733812126963,73
"8","pCO2",530.652088888889,125.65943815293,14.5099020887623,75
"8","WCa",2.27246111111111,0.357685005452599,0.0413019068366301,75
"8","WAr",1.43204,0.228554779494391,0.0263912326931324,75
