"pCO2_treatment","pH","Salinity","Temperature","pH_measured","TA","pCO2","Calcite.sat","Aragonite.Sat"
"Low","7.8456 ± 0.00864 (77)","26.57 ± 0.07 (77)","17.1 ± 0.4 (77)","7.8989 ± 0.0106 (77)","1914.35 ± 4.902 (75)","531 ± 19 (77)","2.27246 ± 0.03296 (77)","1.43 ± 0.0207 (77)"
"Moderate","7.7264 ± 0.00894 (75)","26.57 ± 0.07 (75)","17 ± 0.4 (75)","7.7785 ± 0.00966 (75)","1916.91 ± 4.973 (73)","722 ± 15 (75)","1.77231 ± 0.0413 (75)","1.12 ± 0.0264 (75)"
