"","well","Run_date","Plate","Abs_562nm","Type","Scallop_ID"
"1","A1","20230829","1",2.2132,"Standard_2000",NA
"2","A1","20230829","2",2.0072,"Standard_2000",NA
"3","A10","20230829","1",2.1089,"Sample",79
"4","A11","20230829","1",2.4296,"Sample",73
"5","A12","20230829","1",2.3112,"Sample",73
"6","A2","20230829","1",2.3278,"Standard_2000",NA
"7","A2","20230829","2",2.2035,"Standard_2000",NA
"8","A3","20230829","1",0.084,"Standard_0",NA
"9","A3","20230829","2",0.0805,"Standard_0",NA
"10","A4","20230829","1",0.0831,"Standard_0",NA
"11","A4","20230829","2",0.0813,"Standard_0",NA
"12","A5","20230829","1",2.817,"Sample",57
"13","A5","20230829","2",2.4341,"Sample",28
"14","A6","20230829","1",3.0375,"Sample",57
"15","A6","20230829","2",2.3113,"Sample",28
"16","A7","20230829","1",2.6323,"Sample",5
"17","A7","20230829","2",2.3696,"Sample",88
"18","A8","20230829","1",2.7424,"Sample",5
"19","A8","20230829","2",2.0924,"Sample",88
"20","A9","20230829","1",2.1396,"Sample",79
"21","B1","20230829","1",1.7194,"Standard_1500",NA
"22","B1","20230829","2",1.6675,"Standard_1500",NA
"23","B10","20230829","1",1.8509,"Sample",12
"24","B11","20230829","1",1.9668,"Sample",86
"25","B12","20230829","1",2.167,"Sample",86
"26","B2","20230829","1",1.7759,"Standard_1500",NA
"27","B2","20230829","2",1.7583,"Standard_1500",NA
"28","B3","20230829","1",3.6897,"Sample",59
"29","B3","20230829","2",3.346,"Sample",33
"30","B4","20230829","1",3.5278,"Sample",59
"31","B4","20230829","2",3.629,"Sample",33
"32","B5","20230829","1",1.8782,"Sample",7
"33","B5","20230829","2",1.1058,"Sample",22
"34","B6","20230829","1",2.1895,"Sample",7
"35","B6","20230829","2",1.0604,"Sample",22
"36","B7","20230829","1",3.2164,"Sample",77
"37","B7","20230829","2",2.4246,"Sample",40
"38","B8","20230829","1",3.8745,"Sample",77
"39","B8","20230829","2",2.9153,"Sample",40
"40","B9","20230829","1",2.1958,"Sample",12
"41","C1","20230829","1",1.2278,"Standard_1000",NA
"42","C1","20230829","2",1.1618,"Standard_1000",NA
"43","C10","20230829","1",2.8339,"Sample",85
"44","C11","20230829","1",2.4806,"Sample",18
"45","C12","20230829","1",2.6731,"Sample",18
"46","C2","20230829","1",1.3222,"Standard_1000",NA
"47","C2","20230829","2",1.245,"Standard_1000",NA
"48","C3","20230829","1",2.331,"Sample",74
"49","C3","20230829","2",2.6431,"Sample",39
"50","C4","20230829","1",2.351,"Sample",74
"51","C4","20230829","2",2.6371,"Sample",39
"52","C5","20230829","1",4,"Sample",21
"53","C5","20230829","2",1.197,"Sample",2
"54","C6","20230829","1",4,"Sample",21
"55","C6","20230829","2",1.3291,"Sample",2
"56","C7","20230829","1",3.3759,"Sample",44
"57","C7","20230829","2",1.7717,"Sample",84
"58","C8","20230829","1",4,"Sample",44
"59","C8","20230829","2",1.7953,"Sample",84
"60","C9","20230829","1",2.7414,"Sample",85
"61","D1","20230829","1",1.0008,"Standard_750",NA
"62","D1","20230829","2",0.9456,"Standard_750",NA
"63","D10","20230829","1",1.5587,"Sample",46
"64","D11","20230829","1",1.9596,"Sample",15
"65","D12","20230829","1",2.248,"Sample",15
"66","D2","20230829","1",1.044,"Standard_750",NA
"67","D2","20230829","2",1.0195,"Standard_750",NA
"68","D3","20230829","1",1.5234,"Sample",82
"69","D3","20230829","2",1.702,"Sample",90
"70","D4","20230829","1",1.4063,"Sample",82
"71","D4","20230829","2",1.4733,"Sample",90
"72","D5","20230829","1",2.237,"Sample",65
