"","well","Run_date","Plate","Abs_562nm","Type","Scallop_ID"
"73","D5","20230829","2",1.2657,"Sample",66
"74","D6","20230829","1",1.7873,"Sample",65
"75","D6","20230829","2",1.2835,"Sample",66
"76","D7","20230829","1",1.4002,"Sample",62
"77","D7","20230829","2",1.7004,"Sample",31
"78","D8","20230829","1",1.0316,"Sample",62
"79","D8","20230829","2",1.9403,"Sample",31
"80","D9","20230829","1",1.6968,"Sample",46
"81","E1","20230829","1",0.7398,"Standard_500",NA
"82","E1","20230829","2",0.7387,"Standard_500",NA
"83","E10","20230829","1",3.4224,"Sample",78
"84","E11","20230829","1",2.1008,"Sample",64
"85","E12","20230829","1",2.1945,"Sample",64
"86","E2","20230829","1",0.7712,"Standard_500",NA
"87","E2","20230829","2",0.7737,"Standard_500",NA
"88","E3","20230829","1",2.4976,"Sample",70
"89","E3","20230829","2",1.9295,"Sample",62
"90","E4","20230829","1",2.4577,"Sample",70
"91","E4","20230829","2",1.7248,"Sample",62
"92","E5","20230829","1",3.2563,"Sample",29
"93","E5","20230829","2",2.366,"Sample",19
"94","E6","20230829","1",2.8179,"Sample",29
"95","E6","20230829","2",2.2615,"Sample",19
"96","E7","20230829","1",3.1445,"Sample",9
"97","E7","20230829","2",3.1266,"Sample",51
"98","E8","20230829","1",2.6827,"Sample",9
"99","E8","20230829","2",3.3543,"Sample",51
"100","E9","20230829","1",2.8559,"Sample",78
"101","F1","20230829","1",0.4317,"Standard_250",NA
"102","F1","20230829","2",0.4295,"Standard_250",NA
"103","F10","20230829","1",1.8082,"Sample",25
"104","F11","20230829","1",2.5551,"Sample",54
"105","F12","20230829","1",2.7682,"Sample",54
"106","F2","20230829","1",0.4569,"Standard_250",NA
"107","F2","20230829","2",0.4517,"Standard_250",NA
"108","F3","20230829","1",3.4891,"Sample",1
"109","F3","20230829","2",3.1015,"Sample",68
"110","F4","20230829","1",3.3553,"Sample",1
"111","F4","20230829","2",2.9983,"Sample",68
"112","F5","20230829","1",2.2098,"Sample",4
"113","F5","20230829","2",2.1882,"Sample",81
"114","F6","20230829","1",2.0025,"Sample",4
"115","F6","20230829","2",2.5665,"Sample",81
"116","F7","20230829","1",2.0958,"Sample",13
"117","F7","20230829","2",0.821,"Sample",71
"118","F8","20230829","1",1.888,"Sample",13
"119","F8","20230829","2",0.855,"Sample",71
"120","F9","20230829","1",1.3114,"Sample",25
"121","G1","20230829","1",0.2772,"Standard_125",NA
"122","G1","20230829","2",0.3059,"Standard_125",NA
"123","G10","20230829","1",1.3455,"Sample",38
"124","G11","20230829","1",4,"Sample",55
"125","G12","20230829","1",4,"Sample",55
"126","G2","20230829","1",0.2877,"Standard_125",NA
"127","G2","20230829","2",0.3162,"Standard_125",NA
"128","G3","20230829","1",2.2207,"Sample",83
"129","G3","20230829","2",1.3329,"Sample",58
"130","G4","20230829","1",2.1967,"Sample",83
"131","G4","20230829","2",1.1991,"Sample",58
"132","G5","20230829","1",2.5228,"Sample",8
"133","G5","20230829","2",1.8727,"Sample",11
"134","G6","20230829","1",2.543,"Sample",8
"135","G6","20230829","2",1.9037,"Sample",11
"136","G7","20230829","1",2.4638,"Sample",87
"137","G7","20230829","2",1.7432,"Sample",45
"138","G8","20230829","1",2.4351,"Sample",87
"139","G9","20230829","1",1.4367,"Sample",38
"140","H1","20230829","1",0.1332,"Standard_25",NA
"141","H1","20230829","2",0.163,"Standard_25",NA
"142","H10","20230829","1",2.3458,"Sample",41
"143","H11","20230829","1",2.4679,"Sample",48
"144","H12","20230829","1",2.6918,"Sample",48
"145","H2","20230829","1",0.1322,"Standard_25",NA
"146","H2","20230829","2",0.1526,"Standard_25",NA
"147","H3","20230829","1",1.5344,"Sample",32
"148","H3","20230829","2",2.6612,"Sample",60
"149","H4","20230829","1",1.9293,"Sample",32
"150","H4","20230829","2",2.6436,"Sample",60
"151","H5","20230829","1",3.6503,"Sample",26
"152","H5","20230829","2",2.0184,"Sample",72
"153","H6","20230829","1",4,"Sample",26
"154","H6","20230829","2",1.632,"Sample",72
"155","H7","20230829","1",2.5643,"Sample",61
"156","H7","20230829","2",1.9475,"Sample",47
"157","H8","20230829","1",2.1424,"Sample",61
"158","H8","20230829","2",1.974,"Sample",47
"159","H9","20230829","1",2.2521,"Sample",41
