"","Day","pCO2_history","pCO2_exposure","Unique_ID","Plate","Scallop_ID","mean_TotalProtein_ug","sd_TotalProtein_ug","n","se_TotalProtein_ug"
"1",1,"low","low","Plate_1_1","1",1,1.83977375308695,0.0898094234069522,2,0.0635048523055097
"2",1,"low","low","Plate_1_4","1",4,0.91687771891582,0.0814730248347175,2,0.0576101283444088
"3",1,"low","low","Plate_1_7","1",7,0.877911353510293,0.120242878975357,2,0.085024555112868
"4",1,"low","low","Plate_1_8","1",8,1.16743166462725,0.00894558832154481,2,0.00632548616386752
"5",1,"low","low","Plate_1_9","1",9,1.43038317527423,0.235898008682582,2,0.166805081607856
"6",1,"low","moderate","Plate_1_12","1",12,0.872535775477602,0.132905892408168,2,0.0939786577814653
"7",1,"low","moderate","Plate_1_13","1",13,0.854220687923619,0.0794343218523631,2,0.0561685476407607
"8",1,"low","moderate","Plate_1_15","1",15,0.916268037502328,0.113315911914134,2,0.0801264497308214
"9",1,"low","moderate","Plate_1_18","1",18,1.19610143120512,0.0865037981684938,2,0.0611674222833344
"10",1,"low","moderate","Plate_2_11","2",11,0.858095557803821,0.013635589995085,2,0.00964181815100401
"11",1,"low","severe","Plate_1_21","1",21,2.62039633003808,0,2,0
"12",1,"low","severe","Plate_1_25","1",25,0.633823482669491,0.173231292168709,2,0.122493021406202
"13",1,"low","severe","Plate_1_26","1",26,2.34829062925254,0.384815572449944,2,0.272105700785538
"14",1,"low","severe","Plate_2_28","2",28,1.19748300198804,0.069210496756912,2,0.048939211586102
"15",1,"moderate","low","Plate_1_32","1",32,0.719151475865128,0.142545723442144,2,0.100795047675082
"16",1,"moderate","low","Plate_1_38","1",38,0.549165608478588,0.0307632173322679,2,0.0217528795867621
"17",1,"moderate","low","Plate_2_31","2",31,0.818088105905775,0.102859636841399,2,0.0727327467209392
"18",1,"moderate","low","Plate_2_33","2",33,1.74676180021954,0.109830526386275,2,0.077661909989023
"19",1,"moderate","moderate","Plate_1_41","1",41,1.02614264049459,0.0387262878716904,2,0.0273836207642546
"20",1,"moderate","moderate","Plate_1_44","1",44,2.20772023689015,0.583612127796952,2,0.412676093147935
"21",1,"moderate","moderate","Plate_1_46","1",46,0.66476985958207,0.0487558572321226,2,0.0344755972713971
"22",1,"moderate","moderate","Plate_1_48","1",48,1.19835119332873,0.10073039459425,2,0.0712271450891908
"23",1,"moderate","moderate","Plate_2_45","2",45,0.36817914819209,0.568766581145382,2,0.402178706440188
"24",1,"moderate","severe","Plate_1_54","1",54,1.25105356257252,0.0985413995107132,2,0.069679291821638
"25",1,"moderate","severe","Plate_1_57","1",57,1.43398653944391,0.112873855898802,2,0.0798138689247162
"26",1,"moderate","severe","Plate_1_59","1",59,2.03270360427376,0.127544244954244,2,0.0901874005084637
"27",1,"moderate","severe","Plate_2_51","2",51,1.61116904500549,0.0883689429616777,2,0.0624862788144895
"28",1,"moderate","severe","Plate_2_58","2",58,0.510483527901264,0.0480478518982678,2,0.0339749618987121
"29",1,"severe","low","Plate_1_61","1",61,1.06177582331621,0.177356273364298,2,0.12540982358187
"30",1,"severe","low","Plate_1_64","1",64,0.939468739341539,0.0372034145348969,2,0.0263067867009197
"31",1,"severe","low","Plate_1_65","1",65,0.867784608367019,0.172928390986755,2,0.122278837926413
"32",1,"severe","low","Plate_2_66","2",66,0.514555982188787,0.00640579446487972,2,0.0045295807050037
"33",1,"severe","low","Plate_2_68","2",68,2.03304206697686,0.189228631264164,2,0.133804848361539
"34",1,"severe","moderate","Plate_1_74","1",74,1.05069420813588,0.00836298568876613,2,0.00591352389149258
"35",1,"severe","moderate","Plate_1_77","1",77,2.01749129650562,0.5114450311046,2,0.361646249698227
"36",1,"severe","moderate","Plate_1_78","1",78,1.60985037230526,0.323243036772023,2,0.22856734327283
"37",1,"severe","moderate","Plate_1_79","1",79,0.926228810682597,0.0121165951666302,2,0.00856772660721633
"38",1,"severe","moderate","Plate_2_71","2",71,0.304086012362467,0.0110093300683066,2,0.00778477194762056
"39",1,"severe","severe","Plate_1_82","1",82,0.584653133779661,0.0400474914625559,2,0.0283178527826837
"40",1,"severe","severe","Plate_1_83","1",83,0.973871101314056,0.00968024934807467,2,0.00684496995760025
"41",1,"severe","severe","Plate_1_85","1",85,1.33426331812956,0.0447408820409276,2,0.0316365810874073
"42",1,"severe","severe","Plate_2_81","2",81,1.20987758919012,0.215424508877842,2,0.152328131061303
"43",1,"severe","severe","Plate_2_88","2",88,1.0924040463883,0.143712903931547,2,0.101620368914008
"44",14,"low","low","Plate_1_5","1",5,1.26699293316443,0.0513447285103898,2,0.0363062057078789
"45",14,"low","low","Plate_2_2","2",2,0.508977809264976,0.0473996832945531,2,0.0335166374836732
"46",14,"low","moderate","Plate_2_19","2",19,1.1510635582737,0.0567142563705966,2,0.0401030352696012
"47",14,"low","severe","Plate_1_29","1",29,1.52210581438561,0.236612856125161,2,0.167310555082018
"48",14,"low","severe","Plate_2_22","2",22,0.419510973222448,0.0155558047560072,2,0.0109996150297867
"49",14,"moderate","low","Plate_2_39","2",39,1.43252359580423,0.00419990472307881,2,0.00296978111002644
"50",14,"moderate","low","Plate_2_40","2",40,1.49939189270207,0.368876604585897,2,0.260835148523756
"51",14,"moderate","moderate","Plate_2_47","2",47,0.903897323697492,0.0120121595822311,2,0.00849387949729058
"52",14,"moderate","severe","Plate_1_55","1",55,2.62039633003808,0,2,0
"53",14,"moderate","severe","Plate_2_60","2",60,1.44481297397919,0.0124775896205272,2,0.00882298823353767
"54",14,"severe","low","Plate_1_62","1",62,0.468162923051471,0.120570209869621,2,0.0852560130078944
"55",14,"severe","low","Plate_1_70","1",70,1.13315469146901,0.0173684864285805,2,0.0122813745325958
"56",14,"severe","low","Plate_2_62","2",62,0.821767700477486,0.0879713972031088,2,0.0622051715127735
"57",14,"severe","moderate","Plate_1_73","1",73,1.06844471427882,0.0499323725915259,2,0.0353075192602013
"58",14,"severe","moderate","Plate_2_72","2",72,0.823729141110348,0.166264500355322,2,0.117566755671842
"59",14,"severe","severe","Plate_1_86","1",86,0.895104892958694,0.0779206653549493,2,0.0550982308670523
"60",14,"severe","severe","Plate_1_87","1",87,1.11585058951509,0.0123865080251169,2,0.00875858381978178
"61",14,"severe","severe","Plate_2_84","2",84,0.794270329896232,0.00996901445166177,2,0.00704915772051673
"62",14,"severe","severe","Plate_2_90","2",90,0.682411003829886,0.0903289913784545,2,0.0638722423414463
