"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Type","Protein_Name"
"1","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," microtubule-associated protein 9-like"
"2","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," coiled-coil domain-containing protein 65-like"
"3","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," centrosomal protein of 70 kDa-like"
"4","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," KICSTOR complex protein kaptin-like"
"5","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," dynein regulatory complex protein 1-like"
"6","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," coiled-coil domain-containing protein 39-like"
"7","GO:0007010",0.0149849548885897,0.995607082520149,7,136,"cytoskeleton organization","BP","up"," coiled-coil domain-containing protein 40-like"
"8","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," KICSTOR complex protein kaptin-like"
"9","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," centrosomal protein of 70 kDa-like"
"10","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," stabilizer of axonemal microtubules 2-like"
"11","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," growth arrest-specific protein 8-like"
"12","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," unconventional myosin-VI-like"
"13","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," intraflagellar transport protein 74 homolog"
"14","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," kinesin-like protein KIF28P"
"15","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," intraflagellar transport protein 81 homolog"
"16","GO:0008092",0.00603685336148495,0.998185130530033,9,166,"cytoskeletal protein binding","MF","up"," uncharacterized"
"17","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," microtubule-associated protein 9-like"
"18","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," intraflagellar transport protein 81 homolog"
"19","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," intraflagellar transport protein 122 homolog"
"20","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," coiled-coil domain-containing protein 40-like"
"21","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," cilia- and flagella-associated protein 221-like"
"22","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," centrosomal protein of 83 kDa-like"
"23","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," centrosomal protein of 70 kDa-like"
"24","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," intraflagellar transport protein 74 homolog"
"25","GO:0022607",3.34378538816027e-05,0.999995235065515,9,99,"cellular component assembly","BP","up"," cilia- and flagella-associated protein 53-like"
"26","GO:0030705",0.00209290640615945,0.999893095434361,3,13,"cytoskeleton-dependent intracellular transport","BP","up"," intraflagellar transport protein 74 homolog"
"27","GO:0030705",0.00209290640615945,0.999893095434361,3,13,"cytoskeleton-dependent intracellular transport","BP","up"," intraflagellar transport protein 46 homolog"
"28","GO:0030705",0.00209290640615945,0.999893095434361,3,13,"cytoskeleton-dependent intracellular transport","BP","up"," intraflagellar transport protein 81 homolog"
