"","Day","pCO2_history","pCO2_exposure","Unique_ID","Plate","Scallop_ID","mean_TotalProtein_ug","sd_TotalProtein_ug","n","se_TotalProtein_ug"
"1",1,"low","low","Plate_1_1",1,1,57.2279851361399,6.11618287183197,2,4.3247943836494
"2",1,"low","low","Plate_1_4",1,4,42.7028580280385,4.23816651526294,2,2.99683628274019
"3",1,"low","low","Plate_1_7",1,7,67.2923834849852,16.3704724357841,2,11.5756720705704
"4",1,"low","low","Plate_1_9",1,9,39.4098439592225,4.00536643948109,2,2.8322217704941
"5",1,"low","low","Plate_2_8",2,8,77.6653791556668,5.29546077216068,2,3.74445622150217
"6",1,"low","moderate","Plate_1_12",1,12,67.7547386382189,0.863900962099164,2,0.610870228573901
"7",1,"low","moderate","Plate_1_18",1,18,29.5093170038082,3.09954718536423,2,2.19171083337872
"8",1,"low","moderate","Plate_2_11",2,11,86.4212962962963,4.04622213678968,2,2.86111111111111
"9",1,"low","moderate","Plate_2_13",2,13,27.1790424785426,5.07409343036654,2,3.58792587298629
"10",1,"low","moderate","Plate_2_15",2,15,39.2148233660845,2.56805891078769,2,1.81589187030452
"11",1,"low","severe","Plate_1_21",1,21,72.4955611180782,15.662997329663,2,11.0754116255115
"12",1,"low","severe","Plate_1_25",1,25,7.691948301156,0.625248897185663,2,0.442117735129393
"13",1,"low","severe","Plate_2_24",2,24,32.6084790456469,2.63761728339185,2,1.86507706726121
"14",1,"low","severe","Plate_2_26",2,26,50.1208878837796,7.47951435266598,2,5.28881531875223
"15",1,"low","severe","Plate_2_28",2,28,34.6870800637787,3.52202401791184,2,2.49044706656736
"16",1,"moderate","low","Plate_1_32",1,32,20.5829752188258,0.255320884723876,2,0.180539128966801
"17",1,"moderate","low","Plate_1_38",1,38,8.57563430298529,1.48515725579006,2,1.05016476669755
"18",1,"moderate","low","Plate_2_31",2,31,81.8564814814815,5.62739146694294,2,3.97916666666666
"19",1,"moderate","low","Plate_2_35",2,35,89.2824074074074,0,2,0
"20",1,"moderate","low","Plate_2_38",2,38,29.555102815366,2.78079931244444,2,1.96632205094835
"21",1,"moderate","moderate","Plate_1_44",1,44,39.8620137655289,5.11991731637775,2,3.62032825352513
"22",1,"moderate","moderate","Plate_1_45",1,45,34.5543462112968,3.09361722531648,2,2.1875177184168
"23",1,"moderate","moderate","Plate_1_46",1,46,89.1782407407407,0.147313912747204,2,0.104166666666671
"24",1,"moderate","moderate","Plate_1_48",1,48,24.9084359837659,2.28036003663701,2,1.61245804545283
"25",1,"moderate","moderate","Plate_2_41",2,41,38.2146581192927,2.26790948880772,2,1.60365417865325
"26",1,"moderate","severe","Plate_1_51",1,51,112.814339886872,9.66552065459955,2,6.83455519856598
"27",1,"moderate","severe","Plate_1_54",1,54,84.1226241053779,4.35525913521807,2,3.07963326833735
"28",1,"moderate","severe","Plate_1_58",1,58,73.5391521569724,4.80915257508608,2,3.40058439760411
"29",1,"moderate","severe","Plate_1_59",1,59,55.6518738999543,3.13669450324617,2,2.21797795375593
"30",1,"moderate","severe","Plate_2_57",2,57,51.5510362592439,0.323067927505258,2,0.228443522322852
"31",1,"severe","low","Plate_1_65",1,65,28.9363623052254,2.17468167471465,2,1.53773215911285
"32",1,"severe","low","Plate_1_66",1,66,13.2361244791588,0.442361586220546,2,0.312796877352985
"33",1,"severe","low","Plate_1_68",1,68,44.8780888028597,3.76138834669966,2,2.65970320662739
"34",1,"severe","low","Plate_2_61",2,61,41.7120825155633,5.24776027960595,2,3.71072687975078
"35",1,"severe","low","Plate_2_64",2,64,64.0237383186483,0.862498911972988,2,0.609878829422119
"36",1,"severe","moderate","Plate_1_74",1,74,32.1687653799923,2.16749546712574,2,1.53265074299571
"37",1,"severe","moderate","Plate_1_77",1,77,86.7152777777778,3.63046953859205,2,2.56712962962963
"38",1,"severe","moderate","Plate_1_78",1,78,93.8595946614444,0.577522998967521,2,0.408370428861126
"39",1,"severe","moderate","Plate_1_79",1,79,44.6205738664494,7.03972047976283,2,4.97783408889811
"40",1,"severe","moderate","Plate_2_71",2,71,17.9377347741095,3.24096752983493,2,2.29171011795169
"41",1,"severe","severe","Plate_1_82",1,82,16.1520450960689,1.80176745586219,2,1.27404198616139
"42",1,"severe","severe","Plate_1_83",1,83,42.7941196708571,2.01386157190211,2,1.42401517386298
"43",1,"severe","severe","Plate_1_85",1,85,67.6521908537012,10.2114665135885,2,7.22059721761778
"44",1,"severe","severe","Plate_1_88",1,88,92.3016873844544,18.3400221807514,2,12.968354051121
"45",1,"severe","severe","Plate_2_81",2,81,68.8839491818924,3.23997774404251,2,2.29101023370595
"46",14,"low","low","Plate_1_2",1,2,14.809660895292,0.483499014973139,2,0.341885432184522
"47",14,"low","low","Plate_1_5",1,5,80.2411184339574,7.89752129603852,2,5.58439086299401
"48",14,"low","moderate","Plate_1_19",1,19,91.2153387286024,20.4570782143103,2,14.4653387286024
"49",14,"low","severe","Plate_2_22",2,22,18.3115197989838,1.60121223044281,2,1.13222802626495
"50",14,"low","severe","Plate_2_29",2,29,88.6867812245367,1.21958729707796,2,0.862378448012798
"51",14,"moderate","low","Plate_1_39",1,39,42.5867639766556,2.54289320159449,2,1.79809702668063
"52",14,"moderate","low","Plate_2_40",2,40,44.7745684009395,8.81766736965308,2,6.23503239132904
"53",14,"moderate","moderate","Plate_2_47",2,47,33.1722217517144,2.36069985274724,2,1.66926687422366
"54",14,"moderate","severe","Plate_1_55",1,55,65.5888881539308,9.3981247225858,2,6.64547772177736
"55",14,"moderate","severe","Plate_2_60",2,60,62.1108333889565,9.52113306667937,2,6.73245775602845
"56",14,"severe","low","Plate_1_62",1,62,73.9093761929266,22.7647385670803,2,16.0971010127214
"57",14,"severe","low","Plate_1_67",1,67,21.1240901158489,0.906496309777835,2,0.640989687764488
"58",14,"severe","low","Plate_2_70",2,70,39.303667546245,1.72586649670131,2,1.22037190324017
"59",14,"severe","moderate","Plate_1_73",1,73,38.6926200960639,2.94778451891521,2,2.08439842280167
"60",14,"severe","moderate","Plate_2_72",2,72,28.6480769476901,1.69890689966341,2,1.20130858935661
"61",14,"severe","severe","Plate_1_86",1,86,63.4762690555232,NA,1,NA
"62",14,"severe","severe","Plate_1_90",1,90,14.2396266206559,1.02099575589744,2,0.721953022557766
"63",14,"severe","severe","Plate_2_84",2,84,100.018992666198,4.2331106438278,2,2.99326124176359
"64",14,"severe","severe","Plate_2_87",2,87,37.4674250358205,4.98970558852661,2,3.52825465777158
"65",NA,NA,NA,"Plate_1_NA",1,NA,-1.05968791623748,NA,1,NA
