source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,transcription regulator activity,GO:0140110,TRUE,0.001709434,2.767147565,462,402,27,17566,"LOC111136602,LOC111119625,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111100610,LOC111135975,LOC111135564,LOC111113134,LOC111129175,LOC111103835,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111134887,LOC111119599,LOC111129329,LOC111119651,LOC111136321"
GO:MF,cytoskeletal protein binding,GO:0008092,TRUE,0.013834592,1.859033644,227,402,16,17566,"LOC111100522,LOC111135793,LOC111128800,LOC111137702,LOC111100906,LOC111108138,LOC111126416,LOC111102596,LOC111129985,LOC111105367,LOC111130534,LOC111121822,LOC111103866,LOC111125754,LOC111100288,LOC111105923"
GO:MF,DNA-binding transcription factor activity,GO:0003700,FALSE,0.023429072,1.630244917,395,402,22,17566,"LOC111119625,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111135975,LOC111135564,LOC111103835,LOC111134536,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111134887,LOC111119599,LOC111129329,LOC111119651,LOC111136321"
GO:BP,DNA-templated transcription,GO:0006351,TRUE,0.000238303,3.622869708,765,270,46,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111118336,LOC111110225,LOC111136216,LOC111137803,LOC111130760,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,RNA biosynthetic process,GO:0032774,FALSE,0.000276291,3.558633964,769,270,46,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111118336,LOC111110225,LOC111136216,LOC111137803,LOC111130760,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of RNA biosynthetic process,GO:2001141,FALSE,0.000699112,3.1554534,622,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of DNA-templated transcription,GO:0006355,FALSE,0.000699112,3.1554534,622,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of RNA metabolic process,GO:0051252,FALSE,0.001402175,2.853197922,640,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of nucleobase-containing compound metabolic process,GO:0019219,FALSE,0.002623945,2.581045214,657,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of primary metabolic process,GO:0080090,FALSE,0.006186458,2.208557904,707,270,40,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111110025,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
