"","Gene","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S34","S35","S18"
"1","evm.model.Contig127.32",8.7710796708545,9.32266422623643,8.75222947154071,8.35790403976691,7.94179671010683,8.7928415810948,8.83068903865257,8.26545998504801,7.94179671010683,9.35602656625655,8.91341196040884,8.67689292354115,7.94179671010683,7.94179671010683
"2","evm.model.Contig127.31",8.47992925543506,8.59082102627271,9.07757659409497,8.8772677251292,9.01085873234091,8.53503584275905,8.42292119765653,8.59334111014923,8.55059583955813,8.697060046097,8.56184104366835,8.65935288386054,8.85605560803207,8.40772291116057
"3","evm.model.Contig127.38",8.13569093914162,7.94179671010683,7.94179671010683,7.94179671010683,7.94179671010683,8.16210128908318,8.20332971034556,8.49143275832608,7.94179671010683,7.94179671010683,8.28604581361489,7.94179671010683,7.94179671010683,7.94179671010683
"4","evm.model.Contig110.39",9.33030359525488,9.33995457183098,9.29842622620085,9.0325788662339,9.22235438838829,9.47303103427837,9.1455657846443,9.17963565107435,9.35523757510948,9.39889418520806,9.37861437775203,9.29579436934383,9.48343526842535,9.16813588064274
"5","evm.model.Contig110.34",8.24884424027803,8.66949371106096,8.41574738519596,8.86214409970432,8.32514502300215,8.51523384406135,8.61859004360085,8.07883086009291,8.72339531204375,8.94955519877471,8.66284075279641,8.73724142742968,8.64965668338832,7.94179671010683
"6","evm.model.Contig110.35",9.05821145010295,9.22271824516258,9.02829734267126,9.12809653867862,9.20545297344801,9.74607338044757,9.57893493321279,9.34514299094691,9.06895053570185,9.36145147691755,9.29057976856111,9.05674134009753,9.0332512688137,8.77314244434616
"7","evm.model.Contig110.36",8.39521358559837,8.66374818820351,8.6710417087785,8.20103433284299,8.80452126648433,8.41878918721426,8.29625314764447,8.3967151132177,8.65625753710526,8.36003478967337,8.3302245472994,8.45941933240396,8.62344437303082,8.52742743471042
"8","evm.model.Contig110.37",8.07860912801108,8.27997642081252,8.21155108828116,7.94179671010683,8.20027922247909,8.19452305508584,8.05282966030919,8.06527390977194,8.05998389120276,8.18490131785187,8.11220198907653,7.94179671010683,8.25721537747027,8.07659566783434
"9","evm.model.Contig219.79",9.11455608296423,9.07239971605024,9.15315379950317,9.57295956478432,8.22094020850578,8.60354334228018,8.99123207867152,8.42256764206276,8.53521492941872,8.99186225088243,9.5800641660974,8.89255091048411,9.07513072465162,7.94179671010683
"10","evm.model.Contig219.76",7.94179671010683,8.14046935748547,8.0919197399075,8.25987175684569,7.94179671010683,8.14273413510293,8.01222687909855,7.94179671010683,8.11031831716502,7.94179671010683,8.25739690221351,8.29282882903143,8.16088719006591,7.94179671010683
