"Day","pCO2_history","pCO2_exposure","MDA_µmol_µg_protein","ATP_nmol_ng_protein","MitoSoxGreen_Mean_FL1","JC10_FL2_FL1_Ratio","SYBR_PI_prop_alive_ADJ"
1,"low","low",0.698337988420224,9.00285914429454,72.06,107.6834625678,0.989412897016362
1,"low","low",0.599998941761115,13.0668936203293,72.85,107.279782870205,0.724049331963001
1,"low","low",2.60719030368001,11.8209920926508,75.62,123.652395347084,0.595793499043977
1,"low","low",0.593473731097075,19.4512772187989,80.29,118.319979106816,0.833086524222551
1,"low","low",2.41011454165958,9.85312853406594,57.32,98.6090049397753,0.701751282504865
1,"low","moderate",0.407972922838253,20.8404725097125,68.25,136.200879759802,0.688437348814707
1,"low","moderate",1.15726347527347,20.3371375956075,77.96,69.580913727038,0.442812982998454
1,"low","moderate",0.941991077526624,31.0302890360014,55.4,99.6539871274795,0.733982573039467
1,"low","severe",0.951855914107756,7.81097907735449,67.14,136.436927953563,0.713719512195122
1,"low","severe",0.633219126292519,11.0695291349579,50.13,127.354563497833,0.836415362731152
1,"low","severe",2.44771649083305,28.4400539248776,79.73,110.96263658309,0.700714285714286
1,"low","severe",0.722055310949112,18.4840109662211,69.23,110.382285548083,0.896165445928479
1,"low","severe",1.09069536065343,17.180823517674,69.47,148.065252616318,0.997183098591549
1,"moderate","low",0.821847377487125,21.0182803914102,70.17,160.469852046503,0.965543941153697
1,"moderate","low",1.68705878504028,17.3186439689058,66.93,119.200762312329,0.950576606260296
1,"moderate","low",0.824916647601368,19.7751606847477,79.74,145.18011323291,0.667626728110599
1,"moderate","low",0.00746031183182431,21.6158436441653,75.55,165.379549242066,0.648102914834717
1,"moderate","low",9.26351270693145,32.5641602587977,57.51,92.0706279748196,0.736196319018405
1,"moderate","low",2.68787754967307,32.5641602587977,57.51,92.0706279748196,0.736196319018405
1,"moderate","moderate",0.680924955706315,21.4966346872317,68.34,121.541655156851,0.61822102425876
1,"moderate","moderate",2.46186737318998,10.1560541095366,69.22,157.015084185795,0.61449325492909
1,"moderate","moderate",0.170915155516742,22.9274454153111,66.8,129.890107320644,0.474522292993631
1,"moderate","moderate",0.526317366753383,18.2965242660819,76.63,144.232823351529,0.605052169137836
1,"moderate","moderate",4.52099893011295,13.1052939653547,84.73,150.161089165487,0.997039230199852
1,"moderate","severe",2.12252529884106,20.0521142026574,70.1,126.078454833215,0.357617523997046
1,"moderate","severe",0.927705042921045,10.5828722807723,67.86,162.453115413967,0.644911979390296
1,"moderate","severe",0.33331286225264,35.0826029249563,65.55,113.68049024706,0.786039453717754
1,"severe","low",1.72884383571325,24.8093244392066,63.61,127.804586815696,0.709156193895871
1,"severe","low",1.78931264366049,15.5173875334315,66.84,121.06537449606,0.732418001525553
1,"severe","low",1.30502963031797,29.605653730748,70.33,106.385480581598,0.734188034188034
1,"severe","low",0.866765000435297,12.4383821426494,74.06,212.915277386025,0.741459113951951
1,"severe","moderate",1.32687131452707,62.8239883692004,65.51,113.663280183701,0.711096301232922
1,"severe","moderate",3.21124022269128,7.06380913485137,61.3,101.194436644651,0.775918515823936
1,"severe","moderate",0.44755259115766,11.7074427889294,64.84,97.2502059873661,0.765726681127983
1,"severe","moderate",0.319448971908446,22.0017382026803,66.71,178.892289523928,0.935567754984109
1,"severe","severe",0.484765179131947,20.3154324185943,62.95,126.91846254227,0.634848484848485
1,"severe","severe",5.43239118214317,19.926172842116,67.11,128.411323597878,0.597989949748744
1,"severe","severe",0.406755640490586,13.1887199691864,67.56,108.577147008801,0.632728963272896
1,"severe","severe",1.30880487027193,12.6673514543131,78.52,154.08701590973,0.67343976777939
1,"severe","severe",0.741352253487473,18.9104623329902,69.98,137.663586268144,0.627822944896116
