"Day","pCO2_history","pCO2_exposure","MitoSoxGreen_Mean_FL1","JC10_FL2_FL1_Ratio","SYBR_PI_prop_alive_ADJ"
14,"low","low",4351.16,0.724535174308338,0.892294772202394
14,"low","low",3549.43,0.75977975676841,0.854504395515767
14,"low","low",5483.65,0.706925143996499,0.930706999648259
14,"low","low",5820.78,0.856974466909771,0.878648233486943
14,"low","moderate",3304.6,1.04020492247221,0.60866445421114
14,"low","moderate",2884.8,0.920744114895756,0.751341790680654
14,"low","moderate",2959.78,0.888139320442446,0.843311075293576
14,"low","moderate",3175.33,1.22516683924818,0.508030231459613
14,"low","severe",4811.77,0.795622984446122,0.900092222563787
14,"low","severe",3996.38,0.830459610613106,0.732176069435834
14,"low","severe",3911.59,1.06204409330667,0.907581385186804
14,"low","severe",4780.89,0.986285018583616,0.605117270788913
14,"low","severe",4496.92,0.80639223373681,0.638446643717728
14,"moderate","low",4603.11,0.757271277911865,0.831075359864522
14,"moderate","low",4188.5,0.674420087363492,0.899128499907287
14,"moderate","low",4682.86,0.833722162324674,0.864364135407136
14,"moderate","low",4052.89,0.78435181160548,0.79483282674772
14,"moderate","low",6167.05,0.757230327636026,0.87156862745098
14,"moderate","moderate",4267.55,0.851767796490156,0.917459109927729
14,"moderate","moderate",3756.11,0.835403303638777,0.891148325358852
14,"moderate","moderate",3294.63,0.953282532972483,0.823414806942968
14,"moderate","moderate",3616.93,0.766670462166479,0.776015727391874
14,"moderate","moderate",3814.05,0.72415494909427,0.916943521594684
14,"moderate","severe",5408.67,0.822851904892568,0.858972683309371
14,"moderate","severe",6401.86,0.820338716676739,0.778587035688274
14,"moderate","severe",4958.32,0.747968456032977,0.700320855614973
14,"severe","low",5735.1,0.704821785669338,0.871699430033733
14,"severe","low",5838.22,0.887974210153954,0.774398745207389
14,"severe","low",5202.43,0.770116750179555,0.888930163447251
14,"severe","low",5169.19,0.800453319389692,0.859373573189663
14,"severe","low",4754.09,0.738813313203689,0.902180756682502
14,"severe","moderate",5456.19,0.792399809265268,0.649032487129416
14,"severe","moderate",4554.72,0.663765397876368,0.888746686168754
14,"severe","moderate",4274.47,0.664514221665146,0.824462061155153
14,"severe","moderate",5966.13,0.757514276354775,0.820350451075642
14,"severe","moderate",5896.23,1.13637260669933,0.755641521598968
14,"severe","severe",4854.99,0.729843448500464,0.854322421427016
14,"severe","severe",5697.12,0.838379775454789,0.89795008912656
14,"severe","severe",5908.06,1.0504086535322,0.861313868613139
14,"severe","severe",5196.1,0.712519454771505,0.883368537055744
