"","Day","pCO2_history","pCO2_exposure","Scallop_ID","mean_ATP_nmol","mean_TotalProtein_ug","mean_TotalProtein_ng","ATP_nmol_ng_protein"
"1",1,"low","low",1,1.50905432595573,83.8097265418218,0.0838097265418218,9.00285914429454
"2",1,"low","low",4,1.19919517102616,45.8867733169752,0.0458867733169752,13.0668936203293
"3",1,"low","low",7,1.03923541247485,43.9571993758861,0.0439571993758861,11.8209920926508
"4",1,"low","low",8,2.24025974025974,57.5864431692592,0.0575864431692592,19.4512772187989
"5",1,"low","low",9,1.35010060362173,68.5112651760265,0.0685112651760265,9.85312853406594
"6",1,"low","moderate",11,1.78831168831169,42.904777890191,0.042904777890191,20.8404725097125
"7",1,"low","moderate",12,1.44164989939638,43.6826987192257,0.0436826987192257,16.5013831753243
"8",1,"low","moderate",13,2.35974025974026,42.8480325502454,0.0428480325502454,27.5361564964871
"9",1,"low","moderate",15,1.86363636363636,45.8185512802667,0.0458185512802667,20.3371375956075
"10",1,"low","moderate",18,3.65064935064935,58.8239662610596,0.0588239662610596,31.0302890360014
"11",1,"low","severe",21,1.60814889336016,102.941569644098,0.102941569644098,7.81097907735449
"12",1,"low","severe",24,1.88181818181818,84.99992,0.08499992,11.0695291349579
"13",1,"low","severe",25,1.8025974025974,31.6911741334745,0.0316911741334745,28.4400539248776
"14",1,"low","severe",26,3.58701298701299,97.0301574038271,0.0970301574038271,18.4840109662211
"15",1,"low","severe",28,2.02597402597403,58.9603293430579,0.0589603293430579,17.180823517674
"16",1,"moderate","low",31,1.71948051948052,40.9044052952887,0.0409044052952887,21.0182803914102
"17",1,"moderate","low",32,1.24547283702213,35.9575737932564,0.0359575737932564,17.3186439689058
"18",1,"moderate","low",33,4.50649350649351,113.943284161764,0.113943284161764,19.7751606847477
"19",1,"moderate","low",35,2.07142857142857,47.91459,0.04791459,21.6158436441653
"20",1,"moderate","low",38,1.78831168831169,27.4582804239294,0.0274582804239294,32.5641602587977
"21",1,"moderate","moderate",41,2.2012987012987,51.2010073513089,0.0512010073513089,21.4966346872317
"22",1,"moderate","moderate",44,1.8817907444668,92.6437927649378,0.0926437927649378,10.1560541095366
"23",1,"moderate","moderate",45,1.76623376623377,38.5178927316139,0.0385178927316139,22.9274454153111
"24",1,"moderate","moderate",46,1.21629778672032,33.2384929791035,0.0332384929791035,18.2965242660819
"25",1,"moderate","moderate",48,1.54415584415584,58.9134378915113,0.0589134378915113,13.1052939653547
"26",1,"moderate","severe",51,3.22337662337662,96.7034210378767,0.0967034210378767,16.6663008856434
"27",1,"moderate","severe",54,2.45454545454545,61.2041560739805,0.0612041560739805,20.0521142026574
"28",1,"moderate","severe",57,1.45674044265594,68.8253814280006,0.0688253814280006,10.5828722807723
"29",1,"moderate","severe",58,1.79090909090909,25.5241763950632,0.0255241763950632,35.0826029249563
