"","X","Day","pCO2_history","pCO2_exposure","Unique_ID","Run_date","Scallop_ID","mean_ATP_nmol","sd_ATP_nmol","n","se_ATP_nmol"
"1",1,1,"low","low","20230828_Sample8",20230828,8,2.24025974025974,0.0459160247523733,2,0.0324675324675325
"2",2,1,"low","low","20230829_Sample1",20230829,1,1.50905432595573,0.0469507520707366,2,0.0331991951710262
"3",3,1,"low","low","20230829_Sample4",20230829,4,1.19919517102616,0.0184957508157447,2,0.0130784708249497
"4",4,1,"low","low","20230829_Sample7",20230829,7,1.03923541247485,NA,1,NA
"5",5,1,"low","low","20230829_Sample9",20230829,9,1.35010060362173,0.0725602532002295,2,0.0513078470824951
"6",6,1,"low","moderate","20230828_Sample11",20230828,11,1.78831168831169,0.023876332871234,2,0.0168831168831168
"7",7,1,"low","moderate","20230828_Sample13",20230828,13,2.35974025974026,0.0422427427721833,2,0.0298701298701298
"8",8,1,"low","moderate","20230828_Sample15",20230828,15,1.86363636363636,0.0532625887127529,2,0.0376623376623376
"9",9,1,"low","moderate","20230828_Sample18",20230828,18,3.65064935064935,0.472016734454396,2,0.333766233766233
"10",10,1,"low","moderate","20230829_Sample12",20230829,12,1.44164989939638,0.0270322511922424,2,0.0191146881287727
"11",11,1,"low","severe","20230828_Sample24",20230828,24,1.88181818181818,0.00183664099009532,2,0.00129870129870158
"12",12,1,"low","severe","20230828_Sample25",20230828,25,1.8025974025974,0.117545023366075,2,0.0831168831168829
"13",13,1,"low","severe","20230828_Sample26",20230828,26,3.58701298701299,0.319575532276518,2,0.225974025974026
"14",14,1,"low","severe","20230828_Sample28",20230828,28,2.02597402597403,0.106525177425506,2,0.0753246753246752
"15",15,1,"low","severe","20230829_Sample21",20230829,21,1.60814889336016,0.0448166269766121,2,0.0316901408450704
"16",16,1,"moderate","low","20230828_Sample31",20230828,31,1.71948051948052,0.0367328198018987,2,0.0259740259740261
"17",17,1,"moderate","low","20230828_Sample33",20230828,33,4.50649350649351,NA,1,NA
"18",18,1,"moderate","low","20230828_Sample35",20230828,35,2.07142857142857,0.00183664099009532,2,0.00129870129870158
"19",19,1,"moderate","low","20230828_Sample38",20230828,38,1.78831168831169,0.00918320495047457,2,0.00649350649350644
"20",20,1,"moderate","low","20230829_Sample32",20230829,32,1.24547283702213,0.0654465028864811,2,0.0462776659959757
"21",21,1,"moderate","moderate","20230828_Sample41",20230828,41,2.2012987012987,0.0495893067325633,2,0.0350649350649352
"22",22,1,"moderate","moderate","20230828_Sample45",20230828,45,1.76623376623377,0.426100709702024,2,0.301298701298701
"23",23,1,"moderate","moderate","20230828_Sample48",20230828,48,1.54415584415584,0.0202030508910441,2,0.0142857142857142
"24",24,1,"moderate","moderate","20230829_Sample44",20230829,44,1.8817907444668,0.108840379800344,2,0.0769617706237425
"25",25,1,"moderate","moderate","20230829_Sample46",20230829,46,1.21629778672032,0.126624755584714,2,0.0895372233400403
"26",26,1,"moderate","severe","20230828_Sample51",20230828,51,3.22337662337662,0.117545023366075,2,0.0831168831168829
"27",27,1,"moderate","severe","20230828_Sample54",20230828,54,2.45454545454545,0.0110198459405694,2,0.00779220779220768
"28",28,1,"moderate","severe","20230828_Sample58",20230828,58,1.79090909090909,0.0569358706929429,2,0.0402597402597403
"29",29,1,"moderate","severe","20230829_Sample57",20230829,57,1.45674044265594,0.0284550012549917,2,0.0201207243460764
"30",30,1,"moderate","severe","20230829_Sample59",20230829,59,1.45523138832998,0.0931901291100983,2,0.0658953722334004
"31",31,1,"severe","low","20230828_Sample61",20230828,61,2.61688311688312,0.159787766138258,2,0.112987012987013
"32",32,1,"severe","low","20230828_Sample64",20230828,64,2.08701298701299,0.11570838237598,2,0.0818181818181818
"33",33,1,"severe","low","20230828_Sample66",20230828,66,1.52337662337662,0.0202030508910443,2,0.0142857142857143
"34",34,1,"severe","low","20230828_Sample68",20230828,68,2.15064935064935,NA,1,NA
"35",35,1,"severe","low","20230829_Sample65",20230829,65,1.34708249496982,0.076828503388478,2,0.0543259557344065
"36",36,1,"severe","moderate","20230828_Sample71",20230828,71,1.91038961038961,0.310392327326043,2,0.219480519480519
"37",37,1,"severe","moderate","20230828_Sample78",20230828,78,1.76233766233766,0.0826488445542717,2,0.0584415584415584
"38",38,1,"severe","moderate","20230828_Sample79",20230828,79,2.04805194805195,0.0202030508910441,2,0.0142857142857142
"39",39,1,"severe","moderate","20230829_Sample74",20230829,74,1.49698189134809,0.0170730007529951,2,0.0120724346076458
"40",40,1,"severe","moderate","20230829_Sample77",20230829,77,1.24346076458753,0.014227500627496,2,0.0100603621730383
"41",41,1,"severe","severe","20230828_Sample81",20230828,81,2.41038961038961,0.143257997227405,2,0.101298701298701
"42",42,1,"severe","severe","20230828_Sample88",20230828,88,2.05064935064935,0.0459160247523733,2,0.0324675324675325
"43",43,1,"severe","severe","20230829_Sample82",20230829,82,1.16498993963783,NA,1,NA
"44",44,1,"severe","severe","20230829_Sample83",20230829,83,1.28672032193159,0.160770757090704,2,0.113682092555332
"45",45,1,"severe","severe","20230829_Sample85",20230829,85,1.64084507042254,0.230485510165434,2,0.162977867203219
"46",46,14,"low","low","20230828_Sample2",20230828,2,1.76363636363636,0,2,0
"47",47,14,"low","low","20230828_Sample5",20230828,5,1.74025974025974,0.0330595378217089,2,0.0233766233766235
"48",48,14,"low","moderate","20230828_Sample19",20230828,19,2.6987012987013,0.150604561187784,2,0.106493506493507
"49",49,14,"low","severe","20230828_Sample22",20230828,22,1.78441558441558,0.0220396918811393,2,0.0155844155844157
"50",50,14,"low","severe","20230828_Sample29",20230828,29,2.11168831168831,0,2,0
