"","well","Run_date","Plate","Abs_562nm","Type","Scallop_ID","X"
"1","A1","20231004","1",1.6731,"Standard_2000",NA,""
"2","A1","20231004","2",2.3845,"Standard_2000",NA,""
"3","A10","20231004","1",3.072,"Sample",62,""
"4","A10","20231004","2",1.5389,"Sample",28,""
"5","A11","20231004","1",2.1347,"Sample",79,""
"6","A11","20231004","2",0.048,NA,NA,""
"7","A12","20231004","1",1.8075,"Sample",79,""
"8","A12","20231004","2",0.0513,NA,NA,""
"9","A2","20231004","1",1.6627,"Standard_2000",NA,""
"10","A2","20231004","2",2.3255,"Standard_2000",NA,""
"11","A3","20231004","1",0.415,"Standard_0",NA,""
"12","A3","20231004","2",0.0842,"Standard_0",NA,""
"13","A4","20231004","1",0.0821,"Standard_0",NA,""
"14","A4","20231004","2",0.082,"Standard_0",NA,""
"15","A5","20231004","1",0.7412,"Sample",66,""
"16","A5","20231004","2",1.7509,"Sample",61,""
"17","A6","20231004","1",0.7693,"Sample",66,""
"18","A6","20231004","2",2.0031,"Sample",61,""
"19","A7","20231004","1",2.6895,"Sample",58,"mistakenly as 34"
"20","A7","20231004","2",1.4838,"Sample",24,""
"21","A8","20231004","1",2.8375,"Sample",58,"mistakenly as 34"
"22","A8","20231004","2",1.6236,"Sample",24,""
"23","A9","20231004","1",2.376,"Sample",62,""
"24","A9","20231004","2",1.7216,"Sample",28,""
"25","B1","20231004","1",1.3816,"Standard_1500",NA,""
"26","B1","20231004","2",1.8702,"Standard_1500",NA,""
"27","B10","20231004","1",1.8966,"Sample",9,""
"28","B10","20231004","2",4,"Sample",35,""
"29","B11","20231004","1",2.4072,"Sample",55,""
"30","B11","20231004","2",0.0563,NA,NA,""
"31","B12","20231004","1",2.737,"Sample",55,""
"32","B12","20231004","2",0.0481,NA,NA,""
"33","B2","20231004","1",1.3215,"Standard_1500",NA,""
"34","B2","20231004","2",1.825,"Standard_1500",NA,""
"35","B3","20231004","1",2.7898,"Sample",5,""
"36","B3","20231004","2",3.1719,"Sample",84,""
"37","B4","20231004","1",3.0041,"Sample",5,""
"38","B4","20231004","2",3.2413,"Sample",84,""
"39","B5","20231004","1",1.5443,"Sample",45,""
