"","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S36","S34","S35","S18"
"rna-XR_011207857.1",1530,1247,1449,2252,1327,1542,2155,1209,1458,2065,3009,2029,1323,2650,1709
"rna-XM_069269112.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069250357.1",419,0,307,443,0,421,462,530,434,485,912,0,501,400,0
"rna-XM_069285202.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274481.1",1004,678,995,1027,701,963,466,771,959,1312,1380,1296,909,913,705
"rna-XM_069261422.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069273688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276108.1",0,168,0,0,0,0,0,0,0,0,0,0,200,0,0
"rna-XM_069264880.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278145.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274594.1",161,66,171,119,125,0,136,145,44,0,167,59,48,143,114
"rna-XM_069282438.1",0,0,0,0,0,0,577,0,0,0,409,0,0,0,0
"rna-XM_069274629.1",0,0,0,0,0,27,143,26,0,0,0,0,0,0,0
"rna-XM_069278260.1",0,0,82,0,0,0,0,0,0,0,185,0,0,0,0
"rna-XM_069278066.1",0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
"rna-XM_069249761.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138321547",0,137,151,0,0,0,237,0,111,0,0,0,0,0,0
"rna-XM_069283230.1",0,0,0,0,0,0,34,0,0,34,0,0,0,0,0
"rna-XM_069284582.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069250234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251220.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069265922.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069279664.1",0,0,0,0,0,0,0,0,0,129,0,0,0,0,0
"rna-XM_069279484.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205794.1",0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"rna-XM_069250886.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278216.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069272790.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
