##BLOCKS= 1          ,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate#1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,562,1,12,96,1,8,None
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,23,2.0072,2.2035,0.0805,0.0813,2.4341,2.3113,2.3696,2.0924,0.0459,0.0462,0.0457,0.0461,,,,,,,,
,,1.6675,1.7583,3.346,3.629,1.1058,1.0604,2.4246,2.9153,0.0464,0.0463,0.0462,0.0459,,,,,,,,
,,1.1618,1.245,2.6431,2.6371,1.197,1.3291,1.7717,1.7953,0.0467,0.0468,0.0462,0.0457,,,,,,,,
,,0.9456,1.0195,1.702,1.4733,1.2657,1.2835,1.7004,1.9403,0.0465,0.0462,0.0458,0.0458,,,,,,,,
,,0.7387,0.7737,1.9295,1.7248,2.366,2.2615,3.1266,3.3543,0.0464,0.0463,0.0459,0.0461,,,,,,,,
,,0.4295,0.4517,3.1015,2.9983,2.1882,2.5665,0.821,0.855,0.0469,0.0465,0.046,0.0474,,,,,,,,
,,0.3059,0.3162,1.3329,1.1991,1.8727,1.9037,1.7432,0.0403,0.0467,0.0465,0.0465,0.0484,,,,,,,,
,,0.163,0.1526,2.6612,2.6436,2.0184,1.632,1.9475,1.974,0.0504,0.0469,0.0463,0.047,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,
