"","Airradians.TranscriptID","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S34","S35","S18"
"1","evm.model.Contig127.32",7.81860897834277,8.09947016270493,7.81164742535096,7.60036759474979,7.27940913615211,7.82948704115845,7.84913434524679,7.54579355201725,7.27904716810273,8.11766135516492,7.89362344811032,7.7748249926172,7.27864729980731,7.27907380849654
"2","evm.model.Contig127.31",7.8609234249348,7.91741847971037,8.13959512697572,8.0449234922309,8.10570061485181,7.88765522104182,7.83326566921251,7.91658833080395,7.89774944289123,7.96805865722436,7.9034107664398,7.94922285010483,8.03732399050867,7.82633126505647
"3","evm.model.Contig127.38",5.51659791636409,5.38587763466249,5.38581362756153,5.38593758766819,5.38593682150259,5.53094032393264,5.55293622110861,5.68412693337707,5.38588784620001,5.38586140293614,5.59560495078787,5.38588445798738,5.38583379471448,5.38589144920091
"4","evm.model.Contig110.39",9.0186214153887,9.02954381610973,9.00491201407646,8.86102857672262,8.95994288798227,9.09490918023372,8.92228174272237,8.94107506602912,9.03688521298075,9.06217700467679,9.05005121184469,9.00508612941953,9.10110191486906,8.93551695992922
"5","evm.model.Contig110.34",7.38365832962197,7.60116829611621,7.47640099287732,7.68506261777988,7.42626733780551,7.52444440311184,7.57448553180922,7.27597187345548,7.62583018580994,7.7319701116726,7.59803057459168,7.63224893793162,7.58878186466792,7.1570553721314
"6","evm.model.Contig110.35",8.77929713850105,8.87015785632425,8.76672226495815,8.81351257455783,8.85420312757514,9.14444364302558,9.05524383424206,8.93143705315703,8.78920514576557,8.94462461702194,8.90578057597263,8.78284759268157,8.76703838765887,8.63527418788139
"7","evm.model.Contig110.36",7.52941951442095,7.65842689813833,7.66027772660945,7.42541359641446,7.71615141688403,7.54114144430494,7.4789491624585,7.53117610621118,7.65455341213725,7.51458240758405,7.49848343664392,7.56316297967276,7.63730308556904,7.59433898469702
"8","evm.model.Contig110.37",5.91576772706866,6.02576953874095,5.99034967961326,5.81646141359237,5.98303426923204,5.980479248924,5.90038243661551,5.9081415575503,5.9053390395881,5.97716636062037,5.93645534075577,5.8163883372212,6.01288833886137,5.91504300344589
"9","evm.model.Contig219.79",8.340304922093,8.32395024199642,8.36305297814061,8.57596460318241,7.85692917313258,8.0810956349894,8.27900237113538,7.98390299834517,8.04787563418844,8.2839758732998,8.58830025085408,8.23220378576629,8.32097396836312,7.61309363466647
"10","evm.model.Contig219.76",5.48578972726723,5.62056675583555,5.59259600023253,5.680400160573,5.48584360033695,5.62052373619064,5.54338031185952,5.48575317152907,5.60347207874772,5.48576253699429,5.68177348919534,5.69862505685522,5.6305402562639,5.48579483209236
"11","evm.model.Contig219.77",9.27505056638577,9.11000787250528,9.3502987970847,9.54681840181604,9.34249574235585,9.66280340038538,9.40292002208283,8.68150023077742,9.30180392602948,9.71258627404355,9.2117655718897,9.32421321185241,9.44430546769963,9.07499583822327
"12","evm.model.Contig219.72",7.74372281351991,7.77139082426464,7.93934877867034,7.92788570906674,7.94744557714034,7.83921150939522,7.88642854511413,7.78160081308166,7.87818033604549,8.04574086759459,7.68668515563875,7.84735071635562,7.90936887431389,7.80945938182744
"13","evm.model.Contig274.22",5.13079067838159,5.1608612351137,5.30083802900662,5.26713009601307,5.2040045219312,5.19468140225615,5.2131887339978,5.16078902381865,5.20564997810729,5.13076982813094,5.23152900358543,5.20684299362216,5.22725395322015,5.1307945929275
"14","evm.model.Contig142.48_evm.model.Contig142.49",8.54417939319627,8.55027858597567,8.54817256005118,8.42140480745941,8.24966601811934,8.65461615704584,8.69152265631284,8.50571906655754,8.5844152659105,8.74573317417262,8.67280326140462,8.64359954499539,8.54299101207089,8.21960869452783
"15","evm.model.Contig115.61",11.0751026274655,10.93842733189,10.863897835281,11.1971960935382,10.9868252182236,10.855290502916,11.1227362603593,10.763038682346,10.9361936584979,11.1484133383441,11.114728963013,10.7972673236545,10.9335891071418,10.6556336183558
