"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"S1",-0.354409170967846,0.106993655497764,0.0711178824536997,0.485345855878272,0.15220728536073,-0.0737038991615473,-0.82769061436353,0.0207654251203761,-0.44832118497051,-0.479066894950564,0.175251297078548,0.0355679498274287,0.158192538448144,-0.445009230041665,0.276877177140828,0.00526593717530551,-0.19260021894296
"S19",0.125492023834532,0.148100986930109,0.0709559101198943,-0.0560081266685923,-0.0819856946622805,-0.0340976387033555,0.0474614578887488,0.160598779571684,0.151856946543169,-0.00463284545638232,0.106320352570121,0.157149293986111,0.155681552131055,-0.0776905969987692,0.20923293059164,-0.271459141279874,-0.223692725909603
"S20",0.352293655005051,0.150289350733693,-0.0200630842408175,-0.351682829299842,0.341472060122113,-0.242605590487611,0.160543710255443,-0.0270379047896496,0.346449563764924,0.137632411901366,-0.0495667079232372,-0.0230232286399178,-0.0847467428458793,0.050979601734772,-0.139422698041492,-0.150105938363541,-0.187405821706515
"S21",0.0115002541878668,-0.0105043501093244,0.0608849867772681,-0.227602683654552,0.284465036286915,-0.231717377286525,0.255609570935535,-0.0312319784905294,-0.200310042864447,-0.407957396298333,-0.923759953000409,-0.0415207184020455,-0.595710360043965,-0.173760188181685,-0.533055044722008,0.532427774558368,0.284343695684511
"S2",-0.106546677793526,0.20841247101931,-0.0172203267635989,-0.00507604833338826,0.359352472500627,-0.286631228040194,-0.325257795841916,-0.925599988493533,-0.366401736848508,-0.420763707846399,0.0296878575580013,-0.627174255045826,-0.406751738972587,-0.345378579986866,-0.00430029523322683,0.320764670196619,-0.115988316545732
"S11",-0.479273129071901,-0.393737710592335,0.103909829001556,0.391438332714828,-0.0787828298773848,0.27293874284152,-0.00340851505591373,-0.01338583486725,-0.321135614094752,-0.224406001626309,0.119937507039798,0.124183804437104,0.0707061732004387,-0.0766278972574795,-0.0116167371710166,0.26640109453317,0.20106277940417
"S12",-0.258894102626347,-0.388169509087028,0.190185109329915,0.400778606413078,-0.324127509783625,0.42523514085647,0.078796433247168,-0.0010846123597065,-0.112526745611239,0.193239343004546,0.128569448116771,0.211935962002726,0.230782799329817,0.303995478640925,-0.210475534878149,0.105061525314644,0.30493868807771
"S13",0.17137933849614,0.138786290144433,-0.0354571222445603,0.0153213938625515,-0.177035655297669,-0.183181977138448,-0.0262940155680727,0.0806163715610099,0.198701143851268,0.132740936507658,0.239469046114054,-0.102873855473468,0.158040361726257,0.0232735882680858,0.392642893496265,-0.374987689086683,-0.164312237865661
"S14",0.110914416036927,-0.0449192074982352,0.00350327076441029,-0.169961318960604,-0.17335207083109,-0.224586740740897,0.17961295094802,0.0724446400633302,0.212050343757331,0.244923323763255,0.0661942704997639,-0.0375256959450203,0.047774475208376,0.164957179927378,0.226800160206579,-0.0993116361327206,-0.0496749468654536
"S24",-0.283494458324793,-0.420642431982938,0.287116171382018,0.146666568440462,-0.436039539702918,0.478474118934262,0.18321924521188,0.0619004249077508,-0.230728364923493,0.0701487557881062,0.0025004977947496,0.341034983068974,0.273343507042303,0.303748876744269,-0.343050179587255,0.291984975734399,0.516094638263354
"S33",0.017128265130727,-0.134220977947751,0.187055156582271,0.0891445663302185,-0.353657271230764,0.413778146176811,0.179712511917553,0.166067147459284,0.15432504753113,0.36373584744932,-0.0292908310543402,0.301312859009012,0.255923867372854,0.407601931183323,-0.239791631897814,-0.0495643473571976,0.34038345057487
"S34",0.15680800035295,-0.0113611898049163,0.0516360659683409,-0.346460607747415,-0.0450658037231911,-0.0344776563087701,0.090993408487207,0.125988243617632,0.308220966796879,0.319026397411429,0.0230334770098067,0.165081292898675,0.134707495342931,0.278449275327106,-0.0690973601680239,-0.323661889539041,-0.120387462582866
"S35",0.00859064523376574,0.0369260368736597,-0.0510928184625944,-0.0760089106446001,0.189605813181645,-0.0422326794830356,-0.031517992577984,0.0913909409593359,-0.0219873655438905,0.059006889046326,0.0786528222328257,0.0168856760365527,0.0248358126191364,0.0117705351470373,0.0696092058769894,0.0474721776981544,-0.141186731238968
"S18",0.528510940506454,0.614046585823562,-0.902531030667804,-0.295894798330419,0.342943707656889,-0.23719136145868,0.0382196445158617,0.218568345740263,0.32980704261214,0.0163729413059808,0.0330009159635486,-0.521034067760302,-0.422779740558884,-0.426309974506432,0.375647114386686,-0.300287513451605,-0.451574790346857
