"","MEblue","MEmidnightblue","MElightgreen","MElightcyan","MEred","MEblack","MEpurple","MEcyan","MEgreen"
"S1",-0.103146045925525,0.14263281665674,0.434662954988763,-0.0250175365512026,0.00545240117932902,0.101775113701511,0.331997329646094,0.222782596243271,-0.48773187271553
"S19",-0.280037580542033,-0.00527538344577771,-0.181863947756406,0.0114015230867151,-0.030334325994313,0.0671721307165294,0.118473698914508,0.199238646974429,0.124934706859586
"S20",-0.19273191534654,0.0618159059596034,-0.269551040989383,-0.0903430090564576,-0.0188912923726665,0.25458212625961,0.369680947667488,-0.119556131785261,0.345200137871058
"S21",0.542149758782873,0.198910429224125,-0.318474776914506,-0.298839764285573,0.136761427759048,0.0520414391595083,0.415967510187316,-0.839435238115864,-0.177432217499462
"S2",0.127085716370002,0.291797047258705,0.0696916747587371,-0.47713996263743,0.0631543531510268,0.274531582361745,0.0949269655860096,-0.172812099000505,-0.329341973623171
"S11",0.213617110616991,0.0736048218201286,0.517820152676252,0.10691967302657,0.140804875392556,-0.341575877021347,0.0581772744633814,0.0372741813170834,-0.368520670417117
"S12",0.159253454601972,0.125268416705628,0.33611261829456,0.342203560014489,0.190719990471042,-0.334321917904383,-0.313159034634508,0.0371719477189448,-0.11155193683567
"S13",-0.356660109233934,0.0695643904847108,-0.0222857593329106,0.0318051924785179,-0.0487456241364986,0.0363621938551047,0.0209436807354891,0.319892327103707,0.174609851297891
"S14",-0.122708489113912,-0.0468846263513478,-0.162745485307579,-0.0302247900936506,-0.0115288587157638,-0.0873753283945282,-0.289687485687669,0.132894920806902,0.205587842077464
"S24",0.426009824576144,0.146819607979306,-0.00574207516975192,0.423935634175805,0.290982087526158,-0.486830747032929,-0.215558783977373,-0.0875228027093919,-0.203491198549373
"S33",0.150896156512284,0.119904558292093,0.108669279052871,0.415761687372701,0.149512552497039,-0.192584339559335,-0.509695606231466,-0.00161281008837424,0.251925009968673
"S34",-0.235469692881586,-0.856168072773693,-0.304445913079562,0.0577264470686048,0.0670186852556896,-0.00968783205059309,0.0538141531504221,0.0427738759680024,0.271840661836571
"S35",-0.0283302363444187,-0.128183916897676,0.0808178053052275,-0.0364298823864842,-0.0380634942196116,0.0995739618312202,0.0946082248772411,0.0731823400811971,0.00807685214290279
"S18",-0.299927952072315,-0.193805994912546,-0.282665486526312,-0.431758772212606,-0.896842777793032,0.566337494077885,-0.230488874696935,0.155728245485858,0.295894807586179
