"","well","Run_date","Plate","Abs_570nm","Type","Scallop_ID"
"1","A1","20230828","1",0.0466,"Standard_0",NA
"2","A1","20230828","2",0.0683,"Sample",35
"3","A1","20230829","1",0.0469,"Standard_0",NA
"4","A10","20230828","1",0.0558,"Sample",31
"5","A10","20230828","2",0.046,NA,NA
"6","A10","20230829","1",0.0474,NA,NA
"7","A11","20230828","1",0.0912,"Sample",39
"8","A11","20230828","2",0.0459,NA,NA
"9","A11","20230829","1",0.0459,NA,NA
"10","A12","20230828","1",0.0908,"Sample",39
"11","A12","20230828","2",0.046,NA,NA
"12","A12","20230829","1",0.0458,NA,NA
"13","A2","20230828","1",0.0469,"Standard_0",NA
"14","A2","20230828","2",0.0684,"Sample",35
"15","A2","20230829","1",0.0467,"Standard_0",NA
"16","A3","20230828","1",0.0537,"Sample",71
"17","A3","20230828","2",0.0461,NA,NA
"18","A3","20230829","1",0.1049,"Sample",46
"19","A4","20230828","1",0.0706,"Sample",71
"20","A4","20230828","2",0.0462,NA,NA
"21","A4","20230829","1",0.0871,"Sample",46
"22","A5","20230828","1",0.0611,"Sample",24
"23","A5","20230828","2",0.0459,NA,NA
"24","A5","20230829","1",0.1219,"Sample",57
"25","A6","20230828","1",0.061,"Sample",24
"26","A6","20230828","2",0.0463,NA,NA
"27","A6","20230829","1",0.1179,"Sample",57
"28","A7","20230828","1",0.087,"Sample",40
"29","A7","20230828","2",0.0456,NA,NA
"30","A7","20230829","1",0.0456,NA,NA
"31","A8","20230828","1",0.0827,"Sample",40
"32","A8","20230828","2",0.046,NA,NA
"33","A8","20230829","1",0.0465,NA,NA
"34","A9","20230828","1",0.0538,"Sample",31
"35","A9","20230828","2",0.0459,NA,NA
"36","A9","20230829","1",0.046,NA,NA
"37","B1","20230828","1",0.1028,"Standard_2",NA
"38","B1","20230828","2",0.0937,"Sample",61
"39","B1","20230829","1",0.2107,"Standard_2",NA
"40","B10","20230828","1",0.0567,"Sample",22
"41","B10","20230828","2",0.0465,NA,NA
"42","B10","20230829","1",0.0464,NA,NA
"43","B11","20230828","1",0.1161,"Sample",87
"44","B11","20230828","2",0.0461,NA,NA
"45","B11","20230829","1",0.0462,NA,NA
"46","B12","20230828","1",0.1155,"Sample",87
"47","B12","20230828","2",0.0458,NA,NA
"48","B12","20230829","1",0.0457,NA,NA
"49","B2","20230828","1",0.0996,"Standard_2",NA
"50","B2","20230828","2",0.085,"Sample",61
"51","B2","20230829","1",0.1765,"Standard_2",NA
"52","B3","20230828","1",0.0761,"Sample",8
"53","B3","20230828","2",0.0465,NA,NA
"54","B3","20230829","1",0.0846,"Sample",62
"55","B4","20230828","1",0.0736,"Sample",8
"56","B4","20230828","2",0.0464,NA,NA
"57","B4","20230829","1",0.0888,"Sample",62
"58","B5","20230828","1",0.0688,"Sample",88
"59","B5","20230828","2",0.0466,NA,NA
"60","B5","20230829","1",0.1035,"Sample",32
"61","B6","20230828","1",0.0663,"Sample",88
"62","B6","20230828","2",0.0463,NA,NA
"63","B6","20230829","1",0.0943,"Sample",32
"64","B7","20230828","1",0.0565,"Sample",5
"65","B7","20230828","2",0.0478,NA,NA
"66","B7","20230829","1",0.0466,NA,NA
"67","B8","20230828","1",0.0547,"Sample",5
"68","B8","20230828","2",0.0465,NA,NA
"69","B8","20230829","1",0.0467,NA,NA
"70","B9","20230828","1",0.0579,"Sample",22
"71","B9","20230828","2",0.0464,NA,NA
"72","B9","20230829","1",0.0466,NA,NA
"73","C1","20230828","1",0.2565,"Standard_6",NA
"74","C1","20230828","2",0.0459,NA,NA
"75","C1","20230829","1",0.6073,"Standard_6",NA
"76","C10","20230828","1",0.0783,"Sample",13
"77","C10","20230828","2",0.0463,NA,NA
"78","C10","20230829","1",0.0465,NA,NA
"79","C11","20230828","1",0.1159,"Sample",51
"80","C11","20230828","2",0.046,NA,NA
"81","C11","20230829","1",0.046,NA,NA
"82","C12","20230828","1",0.1095,"Sample",51
"83","C12","20230828","2",0.046,NA,NA
"84","C12","20230829","1",0.0459,NA,NA
"85","C2","20230828","1",0.2539,"Standard_6",NA
"86","C2","20230828","2",0.046,NA,NA
"87","C2","20230829","1",0.6041,"Standard_6",NA
"88","C3","20230828","1",0.0699,"Sample",29
"89","C3","20230828","2",0.0454,NA,NA
"90","C3","20230829","1",0.1144,"Sample",9
"91","C4","20230828","1",0.0699,"Sample",29
"92","C4","20230828","2",0.0467,NA,NA
"93","C4","20230829","1",0.1042,"Sample",9
"94","C5","20230828","1",0.1274,"Sample",55
"95","C5","20230828","2",0.0468,NA,NA
"96","C5","20230829","1",0.0784,"Sample",7
"97","C6","20230828","1",0.1031,"Sample",55
"98","C6","20230828","2",0.0463,NA,NA
"99","C6","20230829","1",0.3,"Sample",7
"100","C7","20230828","1",0.0467,"Sample",66
"101","C7","20230828","2",0.0464,NA,NA
"102","C7","20230829","1",0.0465,NA,NA
"103","C8","20230828","1",0.0478,"Sample",66
"104","C8","20230828","2",0.0465,NA,NA
"105","C8","20230829","1",0.0466,NA,NA
"106","C9","20230828","1",0.0806,"Sample",13
"107","C9","20230828","2",0.0468,NA,NA
"108","C9","20230829","1",0.0468,NA,NA
"109","D1","20230828","1",0.3538,"Standard_8",NA
"110","D1","20230828","2",0.0457,NA,NA
"111","D1","20230829","1",0.8192,"Standard_8",NA
"112","D10","20230828","1",0.0695,"Sample",28
"113","D10","20230828","2",0.0462,NA,NA
"114","D10","20230829","1",0.0464,NA,NA
"115","D11","20230828","1",0.0966,"Sample",19
"116","D11","20230828","2",0.0457,NA,NA
"117","D11","20230829","1",0.047,NA,NA
"118","D12","20230828","1",0.0884,"Sample",19
"119","D12","20230828","2",0.046,NA,NA
"120","D12","20230829","1",0.0458,NA,NA
"121","D2","20230828","1",0.3518,"Standard_8",NA
"122","D2","20230828","2",0.0461,NA,NA
"123","D2","20230829","1",0.836,"Standard_8",NA
"124","D3","20230828","1",0.0565,"Sample",2
"125","D3","20230828","2",0.0463,NA,NA
"126","D3","20230829","1",0.1698,"Sample",44
"127","D4","20230828","1",0.0565,"Sample",2
"128","D4","20230828","2",0.0466,NA,NA
"129","D4","20230829","1",0.1545,"Sample",44
"130","D5","20230828","1",0.0572,"Sample",38
"131","D5","20230828","2",0.0464,NA,NA
"132","D5","20230829","1",0.1318,"Sample",21
"133","D6","20230828","1",0.0577,"Sample",38
"134","D6","20230828","2",0.0459,NA,NA
"135","D6","20230829","1",0.1381,"Sample",21
"136","D7","20230828","1",0.0508,"Sample",73
"137","D7","20230828","2",0.0461,NA,NA
"138","D7","20230829","1",0.0461,NA,NA
"139","D8","20230828","1",0.0502,"Sample",73
"140","D8","20230828","2",0.0449,NA,NA
"141","D8","20230829","1",0.0463,NA,NA
"142","D9","20230828","1",0.0637,"Sample",28
"143","D9","20230828","2",0.0468,NA,NA
"144","D9","20230829","1",0.0465,NA,NA
"145","E1","20230828","1",0.4235,"Standard_10",NA
"146","E1","20230828","2",0.0458,NA,NA
"147","E1","20230829","1",1.0182,"Standard_10",NA
"148","E10","20230828","1",0.1486,"Sample",68
"149","E10","20230828","2",0.0465,NA,NA
"150","E10","20230829","1",0.0464,NA,NA
"151","E11","20230828","1",0.0794,"Sample",67
"152","E11","20230828","2",0.046,NA,NA
"153","E11","20230829","1",0.046,NA,NA
"154","E12","20230828","1",0.0626,"Sample",67
"155","E12","20230828","2",0.0456,NA,NA
"156","E12","20230829","1",0.0461,NA,NA
"157","E2","20230828","1",0.4191,"Standard_10",NA
"158","E2","20230828","2",0.0398,NA,NA
"159","E2","20230829","1",1.0247,"Standard_10",NA
"160","E3","20230828","1",0.068,"Sample",79
"161","E3","20230828","2",0.0464,NA,NA
"162","E3","20230829","1",0.093,"Sample",4
"163","E4","20230828","1",0.0669,"Sample",79
"164","E4","20230828","2",0.0471,NA,NA
"165","E4","20230829","1",0.0956,"Sample",4
"166","E5","20230828","1",0.0682,"Sample",45
"167","E5","20230828","2",0.0465,NA,NA
"168","E5","20230829","1",0.1036,"Sample",65
"169","E6","20230828","1",0.045,"Sample",45
"170","E6","20230828","2",0.0463,NA,NA
"171","E6","20230829","1",0.1144,"Sample",65
"172","E7","20230828","1",0.0486,"Sample",48
"173","E7","20230828","2",0.0461,NA,NA
"174","E7","20230829","1",0.0461,NA,NA
"175","E8","20230828","1",0.0475,"Sample",48
"176","E8","20230828","2",0.0462,NA,NA
"177","E8","20230829","1",0.0463,NA,NA
"178","E9","20230828","1",0.0714,"Sample",68
"179","E9","20230828","2",0.0459,NA,NA
"180","E9","20230829","1",0.0464,NA,NA
"181","F1","20230828","1",0.0675,"Sample",86
"182","F1","20230828","2",0.046,NA,NA
"183","F1","20230829","1",0.1203,"Sample",12
"184","F10","20230828","1",0.0853,"Sample",81
"185","F10","20230828","2",0.0465,NA,NA
"186","F10","20230829","1",0.0466,NA,NA
"187","F11","20230828","1",0.0834,"Sample",54
"188","F11","20230828","2",0.0461,NA,NA
"189","F11","20230829","1",0.0461,NA,NA
"190","F12","20230828","1",0.0828,"Sample",54
"191","F12","20230828","2",0.0461,NA,NA
"192","F12","20230829","1",0.0462,NA,NA
"193","F2","20230828","1",0.0659,"Sample",86
"194","F2","20230828","2",0.0458,NA,NA
"195","F2","20230829","1",0.1165,"Sample",12
"196","F3","20230828","1",0.0695,"Sample",72
"197","F3","20230828","2",0.0467,NA,NA
"198","F3","20230829","1",0.0965,"Sample",70
"199","F4","20230828","1",0.0589,"Sample",72
"200","F4","20230828","2",0.0472,NA,NA
"201","F4","20230829","1",0.0972,"Sample",70
"202","F5","20230828","1",0.0568,"Sample",11
"203","F5","20230828","2",0.0408,NA,NA
"204","F5","20230829","1",0.1132,"Sample",59
"205","F6","20230828","1",0.0581,"Sample",11
"206","F6","20230828","2",0.0467,NA,NA
"207","F6","20230829","1",0.1263,"Sample",59
"208","F7","20230828","1",0.0775,"Sample",60
"209","F7","20230828","2",0.0468,NA,NA
"210","F7","20230829","1",0.0466,NA,NA
"211","F8","20230828","1",0.0605,"Sample",60
"212","F8","20230828","2",0.0467,NA,NA
"213","F8","20230829","1",0.0468,NA,NA
"214","F9","20230828","1",0.0775,"Sample",81
"215","F9","20230828","2",0.0471,NA,NA
"216","F9","20230829","1",0.0473,NA,NA
"217","G1","20230828","1",0.142,"Sample",18
"218","G1","20230828","2",0.0457,NA,NA
"219","G1","20230829","1",0.0977,"Sample",77
"220","G10","20230828","1",0.0721,"Sample",64
"221","G10","20230828","2",0.0466,NA,NA
"222","G10","20230829","1",0.0465,NA,NA
"223","G11","20230828","1",0.0726,"Sample",84
"224","G11","20230828","2",0.0464,NA,NA
"225","G11","20230829","1",0.0461,NA,NA
"226","G12","20230828","1",0.0704,"Sample",84
"227","G12","20230828","2",0.0459,NA,NA
"228","G12","20230829","1",0.0461,NA,NA
"229","G2","20230828","1",0.1163,"Sample",18
"230","G2","20230828","2",0.0462,NA,NA
"231","G2","20230829","1",0.0997,"Sample",77
"232","G3","20230828","1",0.0612,"Sample",25
"233","G3","20230828","2",0.0436,NA,NA
"234","G3","20230829","1",0.1218,"Sample",1
"235","G4","20230828","1",0.0548,"Sample",25
"236","G4","20230828","2",0.0467,NA,NA
