"","well","Run_date","Plate","Abs_570nm","Type","Scallop_ID"
"237","G4","20230829","1",0.1284,"Sample",1
"238","G5","20230828","1",0.118,"Sample",26
"239","G5","20230828","2",0.0474,NA,NA
"240","G5","20230829","1",0.1251,"Sample",74
"241","G6","20230828","1",0.1354,"Sample",26
"242","G6","20230828","2",0.0467,NA,NA
"243","G6","20230829","1",0.1227,"Sample",74
"244","G7","20230828","1",0.0589,"Sample",15
"245","G7","20230828","2",0.0481,NA,NA
"246","G7","20230829","1",0.0465,NA,NA
"247","G8","20230828","1",0.0618,"Sample",15
"248","G8","20230828","2",0.0464,NA,NA
"249","G8","20230829","1",0.0471,NA,NA
"250","G9","20230828","1",0.0658,"Sample",64
"251","G9","20230828","2",0.0466,NA,NA
"252","G9","20230829","1",0.0468,NA,NA
"253","H1","20230828","1",0.0808,"Sample",47
"254","H1","20230828","2",0.0458,NA,NA
"255","H1","20230829","1",0.0909,"Sample",82
"256","H10","20230828","1",0.1621,"Sample",33
"257","H10","20230828","2",0.0465,NA,NA
"258","H10","20230829","1",0.0464,NA,NA
"259","H11","20230828","1",0.0747,"Sample",41
"260","H11","20230828","2",0.0508,NA,NA
"261","H11","20230829","1",0.0461,NA,NA
"262","H12","20230828","1",0.072,"Sample",41
"263","H12","20230828","2",0.0462,NA,NA
"264","H12","20230829","1",0.0461,NA,NA
"265","H2","20230828","1",0.0743,"Sample",47
"266","H2","20230828","2",0.0464,NA,NA
"267","H2","20230829","1",0.8037,"Sample",82
"268","H3","20230828","1",0.0587,"Sample",78
"269","H3","20230828","2",0.0464,NA,NA
"270","H3","20230829","1",0.0917,"Sample",83
"271","H4","20230828","1",0.0542,"Sample",78
"272","H4","20230828","2",0.0462,NA,NA
"273","H4","20230829","1",0.1143,"Sample",83
"274","H5","20230828","1",0.0656,"Sample",90
"275","H5","20230828","2",0.0468,NA,NA
"276","H5","20230829","1",0.122,"Sample",85
"277","H6","20230828","1",0.0473,"Sample",90
"278","H6","20230828","2",0.0463,NA,NA
"279","H6","20230829","1",0.1544,"Sample",85
"280","H7","20230828","1",0.056,"Sample",58
"281","H7","20230828","2",0.0462,NA,NA
"282","H7","20230829","1",0.0462,NA,NA
"283","H8","20230828","1",0.0591,"Sample",58
"284","H8","20230828","2",0.0462,NA,NA
"285","H8","20230829","1",0.0466,NA,NA
"286","H9","20230828","1",0.203,"Sample",33
"287","H9","20230828","2",0.0464,NA,NA
"288","H9","20230829","1",0.0466,NA,NA
