Run_date,Plate,well,ID
20230828,1,A1,Standard_0
20230828,1,A2,Standard_0
20230828,1,A3,
20230828,1,A4,
20230828,1,A5,
20230828,1,A6,
20230828,1,A7,
20230828,1,A8,
20230828,1,A9,
20230828,1,A10,
20230828,1,A11,
20230828,1,A12,
20230828,1,B1,Standard_2
20230828,1,B2,Standard_2
20230828,1,B3,
20230828,1,B4,
20230828,1,B5,
20230828,1,B6,
20230828,1,B7,
20230828,1,B8,
20230828,1,B9,
20230828,1,B10,
20230828,1,B11,
20230828,1,B12,
20230828,1,C1,Standard_6
20230828,1,C2,Standard_6
20230828,1,C3,
20230828,1,C4,
20230828,1,C5,
20230828,1,C6,
20230828,1,C7,
20230828,1,C8,
20230828,1,C9,
20230828,1,C10,
20230828,1,C11,
20230828,1,C12,
20230828,1,D1,Standard_8
20230828,1,D2,Standard_8
20230828,1,D3,
20230828,1,D4,
20230828,1,D5,
20230828,1,D6,
20230828,1,D7,
20230828,1,D8,
20230828,1,D9,
20230828,1,D10,
20230828,1,D11,
20230828,1,D12,
20230828,1,E1,Standard_10
20230828,1,E2,Standard_10
20230828,1,E3,
20230828,1,E4,
20230828,1,E5,
20230828,1,E6,
20230828,1,E7,
20230828,1,E8,
20230828,1,E9,
20230828,1,E10,
20230828,1,E11,
20230828,1,E12,
20230828,1,F1,
20230828,1,F2,
20230828,1,F3,
20230828,1,F4,
20230828,1,F5,
20230828,1,F6,
20230828,1,F7,
20230828,1,F8,
20230828,1,F9,
20230828,1,F10,
20230828,1,F11,
20230828,1,F12,
20230828,1,G1,
20230828,1,G2,
20230828,1,G3,
20230828,1,G4,
20230828,1,G5,
20230828,1,G6,
20230828,1,G7,
20230828,1,G8,
20230828,1,G9,
20230828,1,G10,
20230828,1,G11,
20230828,1,G12,
20230828,1,H1,
20230828,1,H2,
20230828,1,H3,
20230828,1,H4,
20230828,1,H5,
20230828,1,H6,
20230828,1,H7,
20230828,1,H8,
20230828,1,H9,
20230828,1,H10,
20230828,1,H11,
20230828,1,H12,
20230828,2,A1,
20230828,2,A2,
20230828,2,A3,NA
20230828,2,A4,NA
20230828,2,A5,NA
20230828,2,A6,NA
20230828,2,A7,NA
20230828,2,A8,NA
20230828,2,A9,NA
20230828,2,A10,NA
20230828,2,A11,NA
20230828,2,A12,NA
20230828,2,B1,
20230828,2,B2,
20230828,2,B3,NA
20230828,2,B4,NA
20230828,2,B5,NA
20230828,2,B6,NA
20230828,2,B7,NA
20230828,2,B8,NA
20230828,2,B9,NA
20230828,2,B10,NA
20230828,2,B11,NA
20230828,2,B12,NA
20230828,2,C1,NA
20230828,2,C2,NA
20230828,2,C3,NA
20230828,2,C4,NA
20230828,2,C5,NA
20230828,2,C6,NA
20230828,2,C7,NA
20230828,2,C8,NA
20230828,2,C9,NA
20230828,2,C10,NA
20230828,2,C11,NA
20230828,2,C12,NA
20230828,2,D1,NA
20230828,2,D2,NA
20230828,2,D3,NA
20230828,2,D4,NA
20230828,2,D5,NA
20230828,2,D6,NA
20230828,2,D7,NA
20230828,2,D8,NA
20230828,2,D9,NA
20230828,2,D10,NA
20230828,2,D11,NA
20230828,2,D12,NA
20230828,2,E1,NA
20230828,2,E2,NA
20230828,2,E3,NA
20230828,2,E4,NA
20230828,2,E5,NA
20230828,2,E6,NA
20230828,2,E7,NA
20230828,2,E8,NA
20230828,2,E9,NA
20230828,2,E10,NA
20230828,2,E11,NA
20230828,2,E12,NA
20230828,2,F1,NA
20230828,2,F2,NA
20230828,2,F3,NA
20230828,2,F4,NA
20230828,2,F5,NA
20230828,2,F6,NA
20230828,2,F7,NA
20230828,2,F8,NA
20230828,2,F9,NA
20230828,2,F10,NA
20230828,2,F11,NA
20230828,2,F12,NA
20230828,2,G1,NA
20230828,2,G2,NA
20230828,2,G3,NA
20230828,2,G4,NA
20230828,2,G5,NA
20230828,2,G6,NA
20230828,2,G7,NA
20230828,2,G8,NA
20230828,2,G9,NA
20230828,2,G10,NA
20230828,2,G11,NA
20230828,2,G12,NA
20230828,2,H1,NA
20230828,2,H2,NA
20230828,2,H3,NA
20230828,2,H4,NA
20230828,2,H5,NA
20230828,2,H6,NA
20230828,2,H7,NA
20230828,2,H8,NA
20230828,2,H9,NA
20230828,2,H10,NA
20230828,2,H11,NA
20230828,2,H12,NA
