source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,protein binding,GO:0005515,TRUE,4.97327E-06,5.30335824,5399,238,114,17566,"LOC111099580,LOC111100269,LOC111100540,LOC111100645,LOC111101424,LOC111101703,LOC111101808,LOC111103039,LOC111103394,LOC111103429,LOC111103452,LOC111103635,LOC111103820,LOC111103866,LOC111104021,LOC111104125,LOC111104626,LOC111104824,LOC111106010,LOC111106068,LOC111106392,LOC111107208,LOC111107542,LOC111108798,LOC111109886,LOC111112138,LOC111112387,LOC111112439,LOC111113324,LOC111113369,LOC111113633,LOC111114019,LOC111114537,LOC111114979,LOC111115153,LOC111115421,LOC111115607,LOC111117151,LOC111117947,LOC111118438,LOC111119072,LOC111119100,LOC111119531,LOC111119766,LOC111119788,LOC111119832,LOC111119946,LOC111120536,LOC111120600,LOC111120808,LOC111120813,LOC111121413,LOC111121662,LOC111121849,LOC111121925,LOC111122590,LOC111122703,LOC111122805,LOC111123621,LOC111124373,LOC111124684,LOC111124887,LOC111125001,LOC111125061,LOC111125428,LOC111125479,LOC111125555,LOC111125740,LOC111125754,LOC111125839,LOC111125942,LOC111126178,LOC111126510,LOC111126780,LOC111126900,LOC111127090,LOC111127316,LOC111127370,LOC111127536,LOC111127735,LOC111127975,LOC111128069,LOC111128103,LOC111128153,LOC111128350,LOC111128500,LOC111129376,LOC111129464,LOC111129666,LOC111129667,LOC111129962,LOC111130486,LOC111130668,LOC111130848,LOC111131580,LOC111131811,LOC111132361,LOC111133152,LOC111133328,LOC111134076,LOC111134314,LOC111134709,LOC111134716,LOC111134885,LOC111136070,LOC111136156,LOC111136516,LOC111136780,LOC111137169,LOC111137379,LOC111137983,LOC111137999,LOC111138334,LOC111138421"
GO:MF,tubulin binding,GO:0015631,FALSE,1.29353E-05,4.888224461,114,238,12,17566,"LOC111100645,LOC111103866,LOC111112439,LOC111114979,LOC111121925,LOC111122805,LOC111124684,LOC111125479,LOC111125754,LOC111133328,LOC111136780,LOC111138334"
GO:MF,binding,GO:0005488,FALSE,5.4315E-05,4.265079916,11703,238,194,17566,"LOC111099580,LOC111100269,LOC111100540,LOC111100645,LOC111101253,LOC111101291,LOC111101424,LOC111101703,LOC111101808,LOC111101857,LOC111103039,LOC111103325,LOC111103394,LOC111103429,LOC111103452,LOC111103614,LOC111103635,LOC111103792,LOC111103820,LOC111103866,LOC111104021,LOC111104125,LOC111104253,LOC111104266,LOC111104507,LOC111104626,LOC111104824,LOC111106010,LOC111106068,LOC111106228,LOC111106392,LOC111107113,LOC111107208,LOC111107542,LOC111108474,LOC111108651,LOC111108798,LOC111109886,LOC111112138,LOC111112387,LOC111112439,LOC111113157,LOC111113324,LOC111113369,LOC111113633,LOC111114019,LOC111114537,LOC111114899,LOC111114979,LOC111115153,LOC111115421,LOC111115607,LOC111117151,LOC111117514,LOC111117553,LOC111117947,LOC111118002,LOC111118051,LOC111118333,LOC111118438,LOC111118699,LOC111119072,LOC111119100,LOC111119284,LOC111119395,LOC111119397,LOC111119531,LOC111119545,LOC111119582,LOC111119766,LOC111119770,LOC111119788,LOC111119832,LOC111119946,LOC111120536,LOC111120600,LOC111120630,LOC111120787,LOC111120808,LOC111120810,LOC111120813,LOC111121274,LOC111121413,LOC111121662,LOC111121849,LOC111121925,LOC111122590,LOC111122703,LOC111122805,LOC111123066,LOC111123162,LOC111123470,LOC111123621,LOC111123746,LOC111123809,LOC111123900,LOC111123907,LOC111124294,LOC111124314,LOC111124373,LOC111124543,LOC111124672,LOC111124684,LOC111124772,LOC111124887,LOC111124987,LOC111125001,LOC111125061,LOC111125115,LOC111125129,LOC111125401,LOC111125428,LOC111125479,LOC111125555,LOC111125621,LOC111125740,LOC111125754,LOC111125839,LOC111125942,LOC111126178,LOC111126186,LOC111126510,LOC111126780,LOC111126847,LOC111126890,LOC111126900,LOC111127090,LOC111127316,LOC111127370,LOC111127536,LOC111127735,LOC111127975,LOC111128069,LOC111128103,LOC111128153,LOC111128350,LOC111128500,LOC111129376,LOC111129464,LOC111129666,LOC111129667,LOC111129799,LOC111129915,LOC111129962,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111130486,LOC111130588,LOC111130627,LOC111130668,LOC111130755,LOC111130848,LOC111130980,LOC111131539,LOC111131580,LOC111131719,LOC111131811,LOC111132090,LOC111132332,LOC111132361,LOC111132857,LOC111133152,LOC111133328,LOC111133539,LOC111134076,LOC111134121,LOC111134314,LOC111134659,LOC111134709,LOC111134716,LOC111134885,LOC111135064,LOC111135147,LOC111135726,LOC111135733,LOC111136050,LOC111136057,LOC111136070,LOC111136156,LOC111136516,LOC111136573,LOC111136667,LOC111136780,LOC111137032,LOC111137169,LOC111137379,LOC111137796,LOC111137983,LOC111137999,LOC111138028,LOC111138334,LOC111138421"
GO:MF,cytoskeletal protein binding,GO:0008092,FALSE,0.000749517,3.12521863,227,238,14,17566,"LOC111100645,LOC111103866,LOC111112439,LOC111114979,LOC111121925,LOC111122703,LOC111122805,LOC111124684,LOC111125479,LOC111125754,LOC111131811,LOC111133328,LOC111136780,LOC111138334"
GO:MF,microtubule binding,GO:0008017,FALSE,0.001182017,2.927376327,92,238,9,17566,"LOC111103866,LOC111112439,LOC111114979,LOC111122805,LOC111124684,LOC111125479,LOC111125754,LOC111133328,LOC111138334"
GO:MF,heterocyclic compound binding,GO:1901363,TRUE,0.015386617,1.812856855,2060,238,49,17566,"LOC111101253,LOC111101291,LOC111101424,LOC111103394,LOC111103614,LOC111103635,LOC111103866,LOC111104253,LOC111106228,LOC111107113,LOC111107208,LOC111107542,LOC111108651,LOC111112439,LOC111114899,LOC111119072,LOC111119284,LOC111119545,LOC111119582,LOC111121274,LOC111122805,LOC111123066,LOC111123162,LOC111123621,LOC111123746,LOC111123809,LOC111123900,LOC111124294,LOC111124314,LOC111124543,LOC111124672,LOC111124684,LOC111124987,LOC111125129,LOC111125401,LOC111125428,LOC111126186,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111130627,LOC111132090,LOC111135147,LOC111135733,LOC111136057,LOC111136573,LOC111137032,LOC111138028"
GO:MF,purine nucleotide binding,GO:0017076,FALSE,0.015797395,1.801414509,1777,238,44,17566,"LOC111101253,LOC111101291,LOC111101424,LOC111103394,LOC111103614,LOC111103866,LOC111104253,LOC111106228,LOC111107113,LOC111107208,LOC111107542,LOC111108651,LOC111112439,LOC111119072,LOC111119284,LOC111119545,LOC111119582,LOC111122805,LOC111123066,LOC111123162,LOC111123621,LOC111123746,LOC111123809,LOC111123900,LOC111124294,LOC111124314,LOC111124543,LOC111124672,LOC111124684,LOC111124987,LOC111125129,LOC111125401,LOC111125428,LOC111126186,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111132090,LOC111135733,LOC111136057,LOC111136573,LOC111137032,LOC111138028"
GO:MF,anion binding,GO:0043168,TRUE,0.025429339,1.594664926,1928,238,46,17566,"LOC111101253,LOC111101291,LOC111101424,LOC111103394,LOC111103614,LOC111103635,LOC111103866,LOC111104253,LOC111106228,LOC111107113,LOC111107208,LOC111107542,LOC111108651,LOC111112439,LOC111119072,LOC111119284,LOC111119545,LOC111119582,LOC111121274,LOC111122805,LOC111123066,LOC111123162,LOC111123621,LOC111123746,LOC111123900,LOC111124294,LOC111124314,LOC111124543,LOC111124672,LOC111124684,LOC111124987,LOC111125129,LOC111125401,LOC111125428,LOC111126186,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111130627,LOC111132090,LOC111135147,LOC111135733,LOC111136057,LOC111137032,LOC111138028"
GO:MF,ribonucleotide binding,GO:0032553,FALSE,0.02913399,1.535600032,1711,238,42,17566,"LOC111101253,LOC111101291,LOC111101424,LOC111103394,LOC111103614,LOC111103866,LOC111104253,LOC111106228,LOC111107113,LOC111107208,LOC111107542,LOC111108651,LOC111112439,LOC111119072,LOC111119284,LOC111119545,LOC111119582,LOC111121274,LOC111122805,LOC111123066,LOC111123162,LOC111123621,LOC111123746,LOC111123900,LOC111124294,LOC111124314,LOC111124543,LOC111124672,LOC111124684,LOC111124987,LOC111125129,LOC111125401,LOC111125428,LOC111126186,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111135733,LOC111136057,LOC111137032,LOC111138028"
GO:MF,nucleoside phosphate binding,GO:1901265,FALSE,0.036595814,1.43656859,1958,238,46,17566,"LOC111101253,LOC111101291,LOC111101424,LOC111103394,LOC111103614,LOC111103635,LOC111103866,LOC111104253,LOC111106228,LOC111107113,LOC111107208,LOC111107542,LOC111108651,LOC111112439,LOC111119072,LOC111119284,LOC111119545,LOC111119582,LOC111121274,LOC111122805,LOC111123066,LOC111123162,LOC111123621,LOC111123746,LOC111123809,LOC111123900,LOC111124294,LOC111124314,LOC111124543,LOC111124672,LOC111124684,LOC111124987,LOC111125129,LOC111125401,LOC111125428,LOC111126186,LOC111130105,LOC111130166,LOC111130301,LOC111130309,LOC111132090,LOC111135733,LOC111136057,LOC111136573,LOC111137032,LOC111138028"
