initial_alias,converted_alias,name,description,namespace
LOC111099580,LOC111099580,LOC111099580,"cat eye syndrome critical region protein 2-like, transcript variant X3",ENSG
LOC111121210,LOC111121210,LOC111121210,DNA methyltransferase 1-associated protein 1-like,ENSG
LOC111120660,LOC111120660,LOC111120660,"heterochromatin protein 1-binding protein 3-like, transcript variant X2",ENSG
LOC111131719,LOC111131719,LOC111131719,histone H1-delta-like,ENSG
LOC111104266,LOC111104266,LOC111104266,"nucleolar and coiled-body phosphoprotein 1-like, transcript variant X4",ENSG
LOC111123066,LOC111123066,LOC111123066,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5-like,ENSG
LOC111135329,LOC111135329,LOC111135329,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A-like, transcript variant X1",ENSG
LOC111125315,LOC111125315,LOC111125315,tyrosine-protein kinase BAZ1B-like,ENSG
