##BLOCKS= 1          ,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate#1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,570,1,12,96,1,8,None
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,23.3,0.0469,0.0467,0.1049,0.0871,0.1219,0.1179,0.0456,0.0465,0.046,0.0474,0.0459,0.0458,,,,,,,,
,,0.2107,0.1765,0.0846,0.0888,0.1035,0.0943,0.0466,0.0467,0.0466,0.0464,0.0462,0.0457,,,,,,,,
,,0.6073,0.6041,0.1144,0.1042,0.0784,0.3,0.0465,0.0466,0.0468,0.0465,0.046,0.0459,,,,,,,,
,,0.8192,0.836,0.1698,0.1545,0.1318,0.1381,0.0461,0.0463,0.0465,0.0464,0.047,0.0458,,,,,,,,
,,1.0182,1.0247,0.093,0.0956,0.1036,0.1144,0.0461,0.0463,0.0464,0.0464,0.046,0.0461,,,,,,,,
,,0.1203,0.1165,0.0965,0.0972,0.1132,0.1263,0.0466,0.0468,0.0473,0.0466,0.0461,0.0462,,,,,,,,
,,0.0977,0.0997,0.1218,0.1284,0.1251,0.1227,0.0465,0.0471,0.0468,0.0465,0.0461,0.0461,,,,,,,,
,,0.0909,0.8037,0.0917,0.1143,0.122,0.1544,0.0462,0.0466,0.0466,0.0464,0.0461,0.0461,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,
