"","Gene","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S34","S35","S18"
"1","rna-XR_011207857.1",13.0382027183414,12.957141571526,12.9480515834538,13.2548676579002,13.0219541857967,13.0707054625858,13.1756772044934,12.9209984486511,13.0229877697193,13.1490880984714,13.1398714812918,12.9868462494894,13.2248765611734,13.0772341722854
"2","rna-XM_069250357.1",12.6545690076024,12.2248760466886,12.5604878893752,12.6894566049086,12.2248760466886,12.6714072176347,12.6713404486233,12.6882695885408,12.664192091782,12.6786035230449,12.7344469905981,12.6971301720775,12.6199791819769,12.2248760466886
"3","rna-XM_069274481.1",12.8866673655875,12.7674336613836,12.826078243152,12.9283138468852,12.8076304673844,12.8968269541485,12.6732536864965,12.7827068843445,12.8749315989287,12.9660396573045,12.850061869662,12.8587292359334,12.8194461739388,12.7769498436441
"4","rna-XM_069274594.1",12.4918376395166,12.39505563982,12.4756015797201,12.4664223440215,12.4723319726774,12.2248760466886,12.4677908728783,12.4680110722273,12.3652426873701,12.2248760466886,12.4438557380703,12.3716427431576,12.4615867075375,12.4480116233042
"5","rna-XM_069286093.1",12.2248760466886,12.5266124285076,12.4147854351968,12.2248760466886,12.2248760466886,12.2248760466886,12.4995492914396,12.6678673825188,12.2248760466886,12.4062904833605,12.6358259659652,12.2248760466886,12.4453337175765,12.2248760466886
"6","rna-XM_069268794.1",12.9361799901397,12.9355238753565,12.7853107665635,12.8501153830498,12.8842982085952,12.8064018100854,12.8787390488206,12.8574560303799,12.7759800722811,12.8006722191903,12.9107087474857,12.8025650271744,12.8165489868773,12.8106813557294
"7","rna-XM_069258159.1",12.7382595234867,12.57099193522,12.7401130378124,12.955938361691,12.8022732515199,12.7023896767665,12.7982752733289,12.7929699306194,12.2248760466886,12.8924476634981,12.853176151202,12.581745937186,12.7448639304865,12.573450399485
"8","rna-XM_069271650.1",12.2248760466886,12.2248760466886,12.5065742613831,12.2248760466886,12.2248760466886,12.5803319662732,12.2248760466886,12.2248760466886,12.5266851197039,12.5677586477827,12.9714445327184,12.2248760466886,12.2248760466886,12.2248760466886
"9","rna-XM_069254711.1",12.699941655394,12.6588790896183,12.5961062847155,12.6171166334203,12.6535717678089,12.6645126562057,12.696040738328,12.6665029952208,12.7044723433843,12.7025393323969,12.7297236817255,12.6414206384586,12.6334852202513,12.7135852259953
"10","rna-XM_069262423.1",12.4289826617773,12.5627196130421,12.60817929447,12.5544603605676,12.6728782521576,12.2248760466886,12.5011185848868,12.5374364400261,12.2248760466886,12.6129421484096,12.6399488203425,12.5400189526357,12.6224254945257,12.5089514746421
